empresas_impedir_fnews;importancia_controle_fnews;petrobras_combustiveis;uso_maconha;cotas_universidades;direito_aborto;pena_morte;posse_armas;confianca_urnas;satisfacao_democracia;regime_governo;religiao;escolaridade;faixa_etaria;posicionamento_politico
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Concorda;Discorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 40 a 49 anos;Direita
Sim;Pouco importante;A favor;Contra;Discorda;Discorda;Discorda;Discorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;Contra;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 30 a 39 anos;Direita
Sim;Muito importante;A favor;A favor;Discorda;Concorda;Discorda;Concorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Espírita;Ensino médio completo;De 16 a 29 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 30 a 39 anos;Direita
Não se aplica;Não se aplica;A favor;Não sei/Prefiro não responder;Concorda;Não sei/Prefiro não responder;Não sei/Prefiro não responder;Concorda;Concorda;Não sei/Prefiro não responder;Não sei/Prefiro não responder;Prefiro não responder;Ensino fundamental completo;De 30 a 39 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);Não sei/Prefiro não responder;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Esquerda
Não se aplica;Não se aplica;A favor;Contra;Concorda;Discorda;Discorda;Discorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Discorda;Concorda;Concorda;Discorda;Concorda;Nada satisfeito(a);Tanto faz ter um governo democrático ou governo autoritário.;Outra religião;Até ensino fundamental incompleto;De 40 a 49 anos;Centro
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Discorda;Discorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Muito importante;Contra;Contra;Discorda;Concorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Espírita;Ensino médio completo;60 anos ou mais;Centro
Sim;Muito importante;Contra;A favor;Concorda;Concorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Sem religião ou crença;Ensino superior incompleto ou mais;De 40 a 49 anos;Centro
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Até ensino fundamental incompleto;De 40 a 49 anos;Esquerda
Não;Muito importante;Contra;Contra;Concorda;Discorda;Discorda;Concorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 16 a 29 anos;Direita
Sim;Muito importante;A favor;A favor;Concorda;Concorda;Discorda;Concorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 30 a 39 anos;Esquerda
Não se aplica;Não se aplica;A favor;A favor;Concorda;Discorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino médio completo;De 16 a 29 anos;Direita
