P04;P50;P51;P52;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;V02;V03;V08;V27;VD_EDUCACAO;VD_REGIAO;VD_IDADE;P64
52;2.0;1.0;2.0;1.0;2;1;2;2;2;1;2;2;3;2;3;4;1;3;5;2;2
16;2.0;1.0;2.0;1.0;1;2;1;2;1;1;1;2;2;2;3;1;2;4;1;2;2
41;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;2;3;1;2;3;2;1;4;4;2;2
29;2.0;2.0;1.0;1.0;1;2;1;1;1;2;1;1;1;2;3;5;1;3;2;3;1
24;-1.0;-1.0;-1.0;-1.0;2;2;1;1;1;1;1;1;3;2;5;1;3;1;2;5;2
28;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;3;1;2;3;2;1;1;2;4;2
50;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;1;1;2;1;2;2;1;1;2;5;4;2
41;-1.0;-1.0;-1.0;-1.0;1;2;2;1;2;2;2;97;97;2;3;1;1;1;4;5;2
29;3.0;1.0;2.0;1.0;1;2;2;2;2;2;1;1;1;1;1;2;2;1;2;3;1
52;97.0;2.0;1.0;1.0;1;2;1;2;2;2;1;1;1;2;2;1;1;1;5;4;2
28;-1.0;-1.0;-1.0;-1.0;97;2;2;2;2;2;2;2;97;2;1;2;1;2;2;4;2
53;3.0;2.0;2.0;1.0;1;1;1;1;2;2;2;2;1;2;1;2;2;4;5;1;2
28;2.0;2.0;2.0;3.0;1;2;2;2;2;1;2;3;2;2;3;2;3;3;2;5;2
15;1.0;2.0;1.0;1.0;1;2;1;1;1;2;2;3;2;1;2;2;1;3;1;3;1
28;1.0;1.0;1.0;1.0;1;2;2;2;1;1;1;3;1;2;2;1;1;3;2;1;2
31;2.0;1.0;2.0;2.0;2;2;2;2;2;1;2;3;1;2;3;1;2;4;3;2;2
53;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;1;2;1;1;2;1;2;3;4;5;1;2
29;2.0;2.0;1.0;1.0;1;2;97;2;1;2;2;2;2;2;3;1;2;3;2;3;1
52;2.0;2.0;1.0;1.0;1;2;2;2;2;2;2;3;1;1;3;2;1;1;5;3;2
31;-1.0;-1.0;-1.0;-1.0;97;2;1;2;1;2;97;97;3;1;3;2;97;1;3;3;1
