"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"3130";53;1;2;;1;2;;1;1;1;2;2;1;2;1;2;1;2;2;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;1;2;1;2;2;4;2;1;;;7;4;2;0;0;0;0;2;1;5;4;2;4;1;1;1;3;3;6175398,59426123;1828442,81648708;1277187,21734867;3283461,63546948;5140756,49169244;0,22201804567008;2476,2538793416
"3131";29;97;2;;4;1;;3;97;2;2;2;97;3;1;3;97;3;97;1;97;1;97;97;97;97;2;2;;;;;;;;;;;;;;2;;;;;;;;;;97;97;97;1;2;97;97;4;2;2;3;3;1;1;;;1;97;2;0;0;0;0;;1;2;3;3;3;1;1;1;97;3;20907410,4102155;7934345,66230122;27097050,3254786;12966305,9052789;10694694,8990073;0,624024474539748;9298,69013659677
"3132";29;2;1;2;2;4;;2;2;2;3;3;6;3;1;2;1;3;1;1;1;4;2;1;1;2;2;1;1;1;1;1;1;1;1;1;97;1;1;1;1;1;1;1;2;1;3;3;2;1;1;1;1;1;2;2;2;2;4;1;2;2;3;1;1;;;5;4;97;0;0;0;0;1;1;2;4;2;3;1;1;97;3;3;20907410,4102155;6001726,88331152;5581173,8955491;12966305,9052789;10694694,8990073;0,624024474539748;7367,8039420312
"3133";50;2;2;;4;1;;1;1;2;3;3;4;1;1;2;1;3;2;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;;;;;;;;;;1;1;2;2;2;2;1;4;97;1;3;3;1;1;;;5;2;3;0;0;0;0;;1;5;5;3;3;1;1;2;2;2;6471216,17364217;2056012,892451;6771368,0568895;3698976,34110253;3584496,45170473;0,367717022550946;13538,8823342153
"3134";24;2;2;;1;1;;1;1;2;2;2;5;1;1;2;1;2;1;1;1;3;2;1;1;2;3;1;2;1;2;1;;;1;;;;2;1;1;;;;;;;;;;;1;1;1;2;2;2;2;1;1;2;1;3;1;2;1;;7;1;5;0;0;0;0;1;1;2;4;1;3;1;1;3;1;3;20907410,4102155;6001726,88331152;10746878,5794495;12966305,9052789;10694694,8990073;0,515663214002795;7169,58978082734
"3135";27;2;2;;2;6;;2;2;2;1;1;1;2;1;2;97;2;1;1;1;5;1;2;2;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;2;;;;;;;;;;1;1;97;1;97;2;2;97;1;1;3;1;;1;;;7;1;2;1;0;0;1;95;0;2;3;3;1;1;1;1;1;2;22937254,8699374;7934345,66230122;27097050,3254786;17089583,3906671;14013646,6711406;0,194395766255748;9939,76244126233
"3136";27;2;1;2;4;1;;1;1;1;3;2;1;2;1;2;2;2;1;2;1;1;1;2;2;1;1;1;1;1;2;1;2;2;1;1;2;2;1;2;2;2;;;;;;;;;;2;1;2;2;1;2;2;3;1;1;3;3;1;2;2;2;;1;2;1;0;0;1;1;0;2;3;3;3;3;2;1;1;2;22937254,8699374;7934345,66230122;27097050,3254786;12966305,9052789;14013646,6711406;0,388791532511496;7244,2428966251
"3137";31;2;1;1;4;3;;2;2;2;3;2;3;3;2;;3;3;2;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;2;2;1;1;1;4;2;2;3;3;1;1;;;1;1;2;0;0;0;0;;1;3;2;3;3;1;1;1;1;2;34307260,1788924;14370447,1480955;26349818,4883615;23585402,4563219;28238670,7866954;4,15389514446986;98717,7875615139
"3138";16;1;2;;2;5;1;2;1;2;2;2;5;2;1;2;97;2;1;2;1;5;1;1;1;1;1;1;1;1;1;1;1;97;1;1;1;2;2;1;1;2;;;;;;;;;;2;1;1;2;2;1;1;2;1;2;3;3;2;1;;;5;4;97;1;0;0;1;95;0;1;3;3;2;1;1;97;3;3;6773138,38201185;2440573,74107289;9643625,74810525;2424907,60474098;3668531,91805448;0,0234754682078933;360,932352649474
"3139";11;2;1;1;3;5;1;2;2;1;3;3;3;2;1;2;1;2;2;2;1;3;2;2;2;1;1;1;2;2;2;2;1;2;1;1;2;2;1;1;1;1;1;1;2;3;3;3;3;3;2;2;2;1;1;1;1;1;4;2;2;3;3;1;1;;;5;1;3;0;0;0;0;;1;1;2;3;3;1;1;2;1;1;6773138,38201185;2888659,36430057;9643625,74810525;4331620,75185869;4488406,66344907;0,0657788798422396;2331,46072148094
