"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"1";24;2;1;1;3;5;4;2;2;2;3;3;1;3;2;;1;3;2;2;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;2;1;1;1;2;4;2;2;3;3;2;2;1;;5;1;97;0;0;0;0;;1;2;1;3;2;1;1;97;1;1;20907410,4102155;13054252,8137814;27097050,3254786;7314042,008035;19136323,710005;0,0736661734289707;6282,93507653845
"2";25;2;1;1;97;6;;2;1;1;2;3;3;2;2;;3;3;1;2;1;97;1;2;2;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;1;1;2;2;4;2;1;3;2;1;1;;;3;1;2;0;0;0;0;;1;2;5;3;2;1;1;1;1;2;22937254,8699374;7668933,99399618;27097050,3254786;7314042,008035;14013646,6711406;0,934305081189558;22180,4753575961
"3";52;97;2;;2;3;;3;2;2;2;2;5;2;1;2;1;2;1;2;97;1;1;1;1;1;2;1;1;1;2;1;1;1;2;2;2;2;1;2;2;2;;;;;;;;;;2;1;97;2;2;97;1;4;97;1;2;3;1;2;2;2;;2;1;0;0;0;0;;1;5;1;2;3;3;2;1;2;3;6471216,17364217;3709383,01387224;1277187,21734867;3698976,34110253;5140756,49169244;1,17830452646159;36068,3119291225
"4";31;2;1;1;4;4;;2;2;2;3;3;1;3;1;2;1;2;2;1;1;4;2;1;2;2;2;1;1;1;1;1;2;2;2;1;2;2;1;1;2;2;;;;;;;;;;2;1;1;2;1;2;1;2;2;2;1;2;1;2;2;2;;1;97;0;0;0;0;;1;3;5;1;2;3;2;97;1;3;34307260,1788924;14834776,5503979;36770761,9610572;11642723,335758;28876180,8506565;3,81264672620734;68278,9209171263
"5";23;2;2;;1;3;;1;1;2;3;3;4;2;1;2;1;1;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;3;2;2;2;2;2;1;2;2;2;2;2;3;2;2;1;4;1;2;2;2;;1;4;0;0;0;0;;1;2;3;1;4;3;2;3;1;3;20907410,4102155;7934345,66230122;10746878,5794495;6474733,97617184;10694694,8990073;0,849862992295481;6342,53069320846
"6";21;2;1;2;3;1;;1;1;2;2;2;2;2;1;2;1;2;1;1;1;3;2;1;1;1;97;1;1;1;2;2;;;1;;;;1;1;1;;;;;;;;;;;1;1;1;2;1;2;2;1;1;1;3;3;1;2;1;;5;1;3;0;0;0;0;1;1;2;5;3;3;1;1;2;1;1;22937254,8699374;7668933,99399618;27097050,3254786;12966305,9052789;19136323,710005;0,308364631819482;13198,3032536315
"7";21;2;1;2;2;5;5;2;2;2;3;3;3;3;1;2;1;2;2;1;1;2;2;1;2;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;2;2;2;3;2;2;2;4;2;1;;;1;1;3;0;0;0;0;;1;2;1;2;4;1;1;2;1;2;20907410,4102155;13054252,8137814;5581173,8955491;6474733,97617184;14013646,6711406;0,205576421212988;4203,84289241874
"8";32;2;1;2;4;1;;2;2;2;3;3;3;3;2;;3;3;2;2;1;5;1;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;2;2;2;4;2;1;3;1;;2;2;2;;1;2;0;0;0;0;;1;3;5;3;1;3;2;1;1;1;37266731,3639616;14834776,5503979;26349818,4883615;18000789,3565969;14459139,9055021;1,18510890664716;53746,9101933213
"9";15;2;1;1;1;1;;1;1;2;3;2;1;2;1;2;1;2;1;1;1;2;2;2;2;2;1;1;2;1;2;2;1;97;2;2;2;2;2;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;1;97;3;1;2;1;;3;2;2;1;0;0;1;;0;1;3;3;3;1;1;1;2;1;6858908,59017553;2440573,74107289;9643625,74810525;4331620,75185869;4488406,66344907;0,56143908756424;13698,1382260249
"10";42;2;1;2;1;4;;1;1;1;2;3;2;2;1;1;1;2;2;1;1;4;2;2;2;2;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;1;1;1;2;3;3;3;2;1;3;1;1;1;2;2;2;2;1;1;1;3;6;;1;;;2;1;5;0;0;0;0;1;1;4;3;3;4;1;1;3;1;3;12236801,2346068;4174819,25961168;4879278,13486164;5770094,98942702;4490598,96948101;0,716100169557645;2888,54608090461
"11";21;1;2;;1;6;;2;1;2;2;2;1;2;1;1;1;2;2;2;1;6;1;97;2;1;1;1;1;1;1;1;97;2;2;1;2;1;2;1;1;1;2;2;2;2;3;3;3;2;2;2;2;1;1;2;1;1;3;1;2;3;3;1;1;;;5;5;4;0;0;0;0;2;1;2;3;3;3;1;1;3;3;2;20907410,4102155;7934345,66230122;27097050,3254786;12966305,9052789;14013646,6711406;0,205576421212988;4299,95295221139
"12";25;2;2;;2;5;5;2;2;2;2;2;3;2;1;2;1;2;2;1;1;2;2;1;2;1;1;1;2;2;2;1;1;2;2;1;2;1;1;1;2;2;;;;;;;;;;1;1;1;2;2;2;2;1;2;1;3;3;1;2;2;2;;1;2;1;0;0;1;;0;2;1;3;3;3;2;1;1;1;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;19136323,710005;0,23357627029739;17890,9395743046
"13";25;2;1;2;1;3;;1;1;1;3;3;1;3;1;1;1;3;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;1;1;2;2;3;3;3;1;1;1;2;1;1;2;2;2;2;4;1;2;1;4;2;2;1;;5;1;2;0;0;0;0;1;1;2;2;1;4;1;1;1;1;3;20907410,4102155;9185405,92676254;10746878,5794495;6474733,97617184;10694694,8990073;0,116788135148695;1168,98968529173
"14";51;97;2;;3;3;;2;2;2;2;2;3;3;2;;2;2;1;2;1;2;1;2;2;1;1;1;2;2;1;2;1;2;1;2;2;1;2;2;2;2;;;;;;;;;;97;1;1;2;1;1;2;4;2;1;2;3;2;1;;;1;1;2;0;0;0;0;;1;5;1;2;2;1;1;1;1;2;6471216,17364217;3709383,01387224;1277187,21734867;2242377,00963367;3584496,45170473;0,286800299223655;9020,80731068538
"15";17;1;1;2;4;5;5;2;2;2;3;3;1;2;2;;2;2;2;1;1;1;2;1;1;2;1;1;2;2;2;1;1;1;1;1;2;1;2;1;1;2;;;;;;;;;;2;1;2;2;2;2;1;4;2;2;3;3;2;2;1;;6;2;97;0;0;0;0;;1;1;1;3;2;1;1;97;2;2;6773138,38201185;4671519,09130945;9643625,74810525;2424907,60474098;5475108,39068382;0,117290313156604;6419,60224607614
"16";35;2;2;;3;1;;2;2;2;3;3;2;2;1;3;1;2;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;2;;;;;;;;;;2;2;2;2;2;2;2;4;2;1;3;3;1;1;;;3;4;3;0;0;0;0;;1;3;4;3;3;1;1;2;3;3;37266731,3639616;10817844,4188551;26349818,4883615;23585402,4563219;28876180,8506565;8,11800670859218;147692,173806874
"17";31;2;1;2;2;5;5;1;2;2;2;3;1;97;1;2;1;97;2;1;3;6;2;1;2;2;1;1;2;1;2;2;2;2;2;1;2;2;2;1;1;1;2;3;2;2;3;3;2;3;2;1;1;1;2;2;2;2;1;2;2;1;3;2;2;2;1;;4;97;1;0;0;1;;0;3;1;1;2;2;2;97;3;1;34307260,1788924;18615364,7082317;36770761,9610572;11642723,335758;14459139,9055021;2,07694757223493;120129,598538536
"18";24;1;2;;1;5;97;1;1;1;1;2;3;3;1;1;1;2;2;1;1;3;97;2;2;2;1;1;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;1;2;3;1;2;1;1;1;1;1;2;2;2;1;2;3;1;2;1;4;1;1;;;5;1;3;0;0;0;0;9;1;2;3;1;4;1;1;2;1;1;20907410,4102155;7934345,66230122;10746878,5794495;6474733,97617184;19136323,710005;0,128915803500699;2415,11217694771
"19";22;2;1;1;1;97;;2;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;2;1;1;2;2;2;2;4;2;2;3;4;1;1;;;1;2;2;0;0;0;0;;1;2;1;3;4;1;1;1;2;3;20907410,4102155;13054252,8137814;27097050,3254786;6474733,97617184;10694694,8990073;0,211582549762385;3639,53690417353
"20";23;2;2;;4;1;;2;2;2;2;3;1;3;2;;3;2;1;1;3;5;1;2;1;2;1;1;1;1;2;2;1;2;2;1;1;1;2;1;2;2;;;;;;;;;;1;1;1;2;1;1;1;4;2;2;3;3;1;1;;;2;1;2;1;0;0;1;;0;2;2;3;3;1;1;1;1;2;20907410,4102155;9185405,92676254;27097050,3254786;12966305,9052789;14013646,6711406;0,849862992295481;23841,7218196051
"21";16;2;2;;2;1;;1;1;2;2;2;1;1;1;2;1;2;2;1;1;3;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;3;1;1;2;2;3;2;2;2;1;1;2;1;2;2;4;2;2;3;3;1;1;;;2;1;4;0;0;0;0;;1;1;5;3;3;1;1;3;1;3;6773138,38201185;1880529,03586771;9643625,74810525;4331620,75185869;3668531,91805448;0,0469509364157867;914,127054449275
"22";35;2;1;2;4;3;;2;2;2;2;2;5;2;1;2;1;2;1;1;1;2;97;1;2;1;1;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;;;;;;;;;;2;2;97;2;1;2;2;97;1;1;3;3;2;2;2;1;;2;1;0;0;0;0;97;1;3;3;3;2;2;2;1;2;3;37266731,3639616;12935558,7172738;26349818,4883615;11642723,335758;28876180,8506565;5,41200447239479;159917,649882389
"23";24;1;2;;4;5;1;2;2;2;3;3;3;2;1;2;1;2;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;2;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;1;1;3;1;2;2;2;;4;5;0;0;0;0;;1;2;3;1;3;3;2;3;3;3;22937254,8699374;7934345,66230122;10746878,5794495;12966305,9052789;10694694,8990073;0,171887738000932;2275,5124505958
"24";26;2;2;;2;5;5;2;97;2;2;1;5;2;1;1;1;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;3;2;3;3;1;1;1;1;2;2;2;2;1;2;2;1;4;2;2;2;2;;1;97;0;0;0;0;;1;2;1;1;4;3;2;97;1;2;20907410,4102155;13054252,8137814;10746878,5794495;6474733,97617184;14013646,6711406;0,795664170993237;19159,9643519868
"25";17;97;2;;4;1;;97;2;2;97;2;1;3;97;;97;97;97;2;1;2;97;97;97;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;97;2;2;2;2;2;1;97;2;1;3;3;1;2;2;2;;2;2;0;0;0;0;;1;1;5;3;3;3;2;1;2;1;6858908,59017553;1880529,03586771;9643625,74810525;4331620,75185869;4488406,66344907;0,117290313156604;2667,12031897902
"26";51;2;2;;4;1;;3;2;2;3;3;3;2;1;3;1;2;2;2;1;3;2;2;2;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;1;1;4;2;1;3;2;1;2;2;2;;1;3;0;0;0;0;;1;5;2;3;2;3;2;2;1;2;6471216,17364217;2714476,69930958;6771368,0568895;2242377,00963367;3584496,45170473;0,286800299223655;5743,71806877939
"27";25;1;1;2;97;1;;1;1;2;97;2;3;2;2;;1;1;2;1;1;3;1;1;1;1;3;97;;;;;;;;;;;;;;;;;;;;;;;;1;97;2;1;2;1;1;2;1;1;3;2;2;2;2;2;;1;3;0;0;0;0;97;1;2;4;3;1;3;2;2;1;3;22937254,8699374;6001726,88331152;27097050,3254786;17089583,3906671;10694694,8990073;2,01348906154243;68619,5502908965
"28";13;2;1;2;2;3;;1;1;2;3;2;1;2;1;2;1;2;2;2;1;1;1;2;2;1;2;1;1;1;1;1;2;2;1;1;2;2;1;1;1;2;;;;;;;;;;2;2;2;1;2;1;2;4;2;2;3;4;1;2;2;2;;2;4;0;0;0;0;;1;1;4;3;4;3;2;3;2;3;6773138,38201185;1750765,73963676;9643625,74810525;2399410,71828191;3668531,91805448;0,434760414582168;4985,58708939876
"29";21;1;2;;1;3;;1;1;1;2;1;1;3;1;2;2;2;1;2;1;3;1;2;2;2;1;1;1;2;2;1;1;2;1;1;2;1;2;2;1;1;1;1;1;1;3;3;2;3;2;1;1;2;1;1;1;1;2;1;2;3;3;1;1;;;5;1;2;1;0;0;1;4;0;2;1;3;3;1;1;1;1;3;20907410,4102155;13054252,8137814;27097050,3254786;12966305,9052789;10694694,8990073;0,411152842425977;14083,3001360552
"30";27;2;1;2;3;6;;2;2;2;2;2;3;3;2;;1;3;2;2;1;1;1;1;2;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;2;1;1;2;2;2;1;4;2;1;3;3;1;2;2;2;;1;2;0;0;0;0;;1;2;1;3;3;3;2;1;1;1;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;19136323,710005;0,194395766255748;14889,8811645299
"31";14;2;1;2;1;6;;1;1;2;2;2;1;3;1;1;1;3;1;1;1;5;2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;1;1;1;2;2;2;2;1;1;1;3;4;1;1;;;2;1;2;0;0;0;0;1;1;1;2;3;4;1;1;1;1;2;6858908,59017553;2888659,36430057;9643625,74810525;2399410,71828191;5475108,39068382;0,0461849661679657;625,211495167805
"32";32;2;1;1;2;3;;2;2;2;3;2;1;2;1;2;1;2;1;1;1;1;2;1;2;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;2;;;;;;;;;;2;1;2;2;1;2;1;4;2;1;2;4;1;1;;;2;2;4;0;0;0;0;;1;3;2;2;4;1;1;3;2;2;37266731,3639616;14370447,1480955;7523864,72812505;18345076,3941771;28238670,7866954;0,395036302215719;6069,63339955985
"33";21;2;1;1;4;5;1;2;2;2;3;2;1;2;1;2;3;2;2;1;1;1;2;1;2;2;1;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;;;;;;;;;;2;1;2;2;2;2;2;4;2;1;3;3;1;2;2;1;;2;3;0;1;0;1;;0;2;1;3;3;2;2;2;2;1;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;19136323,710005;0,411152842425977;31492,5426725976
"34";53;2;1;1;2;3;;2;2;2;3;2;3;2;1;2;1;3;2;1;3;4;2;2;1;2;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;2;;;;;;;;;;1;1;1;2;1;2;2;1;1;1;3;3;1;2;2;1;;1;2;0;0;0;0;1;1;5;1;3;3;2;2;1;1;3;6471216,17364217;3709383,01387224;6771368,0568895;3698976,34110253;5140756,49169244;0,33302706850512;9571,59825402463
"35";42;2;1;1;2;6;;2;2;2;2;3;3;3;1;2;1;2;2;1;2;6;97;2;2;2;2;2;;;;;;;;;;;;;;1;2;3;3;3;3;3;3;3;3;1;1;1;2;2;2;2;1;2;2;1;3;1;1;;;1;97;97;0;0;0;0;;1;4;1;1;3;1;1;97;97;3;11790662,3027841;6174721,93567261;17810307,5704317;6877258,89129001;4490598,96948101;0,716100169557645;68154,8106906604
"36";53;1;2;;2;3;;2;2;2;2;3;5;2;1;2;1;2;1;1;1;5;1;2;1;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;1;1;1;3;2;1;3;4;1;1;;;4;1;4;0;0;0;0;;1;5;2;3;4;1;1;3;1;3;6471216,17364217;2714476,69930958;6771368,0568895;3283461,63546948;5140756,49169244;0,33302706850512;3998,80402144753
"37";14;2;1;2;2;5;2;1;1;1;3;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;1;1;2;2;;;;;;;;;;2;1;2;2;2;2;1;2;2;2;3;2;2;2;2;2;;2;3;1;0;0;1;;0;1;4;3;1;3;2;2;2;2;6773138,38201185;1750765,73963676;9643625,74810525;4476107,8973058;5475108,39068382;0,0461849661679657;3093,68816133433
"38";23;1;2;;2;5;2;1;2;2;97;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;2;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;1;3;1;1;;;5;2;97;0;0;0;0;;1;2;4;1;3;1;1;97;2;2;20907410,4102155;6001726,88331152;10746878,5794495;12966305,9052789;14013646,6711406;3,39945196918192;66344,8651508862
"39";13;2;97;;2;5;1;2;2;2;2;2;3;2;1;2;1;2;2;1;1;1;1;1;2;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;2;2;1;2;4;2;1;3;4;2;2;2;1;;2;2;0;1;0;1;;0;1;2;3;4;2;2;1;2;3;6858908,59017553;2888659,36430057;9643625,74810525;2399410,71828191;3668531,91805448;0,434760414582168;3628,56091615961
"40";53;2;1;1;4;5;3;1;1;2;3;3;2;3;1;1;1;3;2;2;2;2;2;1;2;2;1;1;2;2;2;1;1;2;1;1;2;1;1;1;2;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;1;1;3;1;1;;;1;2;97;0;0;0;0;;1;5;1;1;3;1;1;97;2;3;6471216,17364217;3709383,01387224;4472565,30371772;3698976,34110253;5140756,49169244;0,66605413701024;27602,8550144247
"41";29;2;1;2;4;5;2;2;1;2;3;3;2;3;1;1;1;3;2;1;1;6;1;1;2;1;1;1;97;2;2;1;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;2;1;2;2;2;2;2;97;2;2;3;3;1;1;;;97;5;97;97;97;97;97;;97;2;4;3;3;1;1;97;3;3;20907410,4102155;6001726,88331152;27097050,3254786;12966305,9052789;10694694,8990073;3,74414684723849;52197,8561532307
"42";41;2;1;1;4;1;;2;2;2;2;3;2;2;2;;1;2;2;1;1;4;1;2;1;1;1;1;2;1;2;2;1;1;2;1;1;1;2;1;2;2;;;;;;;;;;1;1;2;2;1;2;1;4;2;1;1;3;1;2;2;2;;1;4;0;0;0;0;;1;4;4;1;3;3;2;3;1;3;12236801,2346068;3787817,15094212;17810307,5704317;6877258,89129001;4490598,96948101;1,12380350157936;21923,7951289854
"43";43;1;2;;1;5;2;1;1;1;3;3;6;1;1;1;1;3;2;2;1;2;1;1;2;1;1;1;1;1;97;1;1;97;97;1;97;97;2;2;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;1;2;2;1;2;1;4;1;1;;;5;1;97;0;0;0;0;4;1;4;5;1;4;1;1;97;1;2;11790662,3027841;4913423,03593019;17810307,5704317;5770094,98942702;10688606,2270338;1,28054197030927;15548,9128133444
"44";27;2;1;1;4;1;;2;97;2;3;3;1;2;1;2;1;3;2;1;1;4;1;2;1;2;2;1;2;2;2;1;1;1;2;1;2;1;2;1;2;2;;;;;;;;;;2;2;2;2;1;1;1;4;1;2;1;3;2;2;2;2;;1;97;0;0;0;0;8;1;2;1;1;2;3;2;97;1;3;20907410,4102155;13054252,8137814;10746878,5794495;7314042,008035;10694694,8990073;0,194395766255748;6587,06787570452
"45";28;1;2;;1;5;5;2;1;2;3;2;1;3;1;2;1;2;1;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;3;3;2;2;3;2;2;1;1;1;1;1;2;2;2;3;3;2;1;;;5;4;3;1;0;0;1;;0;2;4;3;2;1;1;2;3;3;20907410,4102155;6001726,88331152;27097050,3254786;7314042,008035;10694694,8990073;0,0766786424572434;1060,35195813654
"46";26;2;1;1;3;5;3;97;1;2;3;3;2;3;1;1;1;3;2;1;2;5;2;2;2;2;1;1;1;2;2;1;2;2;2;1;1;2;1;1;1;1;3;3;2;2;2;1;2;1;3;2;1;1;2;1;2;2;1;1;1;3;3;1;2;1;;6;2;3;0;0;0;0;1;1;2;1;3;3;1;1;2;2;3;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;10694694,8990073;0,596748128244927;18208,6608372345
"47";12;2;2;;2;4;;3;97;2;2;2;2;2;2;;1;2;2;1;1;1;1;2;2;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;2;2;1;4;1;2;3;3;1;2;2;2;;5;97;0;0;0;0;95;1;1;1;3;3;3;2;97;3;2;6773138,38201185;4671519,09130945;9643625,74810525;4331620,75185869;5475108,39068382;0,0504205912948909;3749,58411353166
"48";51;2;1;2;3;5;1;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;1;1;2;2;1;2;1;1;2;2;2;;;;;;;;;;2;1;2;2;2;2;2;4;2;1;1;3;1;2;1;;5;1;2;0;0;0;0;;1;5;1;1;3;1;1;1;1;1;6471216,17364217;3709383,01387224;4472565,30371772;3698976,34110253;3921361,82450623;0,286800299223655;19498,8024908498
"49";14;1;2;;2;5;1;2;2;2;2;2;1;2;2;;1;2;2;1;2;4;2;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;;;;;;;;;;1;1;2;2;2;1;2;3;2;2;3;3;1;1;;;1;2;2;0;0;0;0;;1;1;1;3;3;1;1;1;2;2;6773138,38201185;4671519,09130945;9643625,74810525;4331620,75185869;5475108,39068382;0,0461849661679657;3434,59707591627
"50";17;1;2;;2;3;;1;2;1;2;3;5;3;1;2;1;2;2;1;1;2;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;2;1;1;2;2;2;3;3;2;3;3;3;2;2;2;2;2;1;1;2;2;1;3;4;1;1;;;4;2;5;0;0;0;0;;1;1;2;3;4;1;1;3;2;2;6858908,59017553;2888659,36430057;9643625,74810525;2399410,71828191;5475108,39068382;0,117290313156604;1587,7732115392
"51";42;1;2;;2;1;;1;97;2;2;2;3;1;1;1;1;1;2;2;1;6;2;2;2;2;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;2;2;2;2;1;1;1;4;1;1;1;2;1;2;1;;5;1;3;0;0;0;0;8;1;4;4;1;2;1;1;2;1;2;12236801,2346068;3787817,15094212;17810307,5704317;4315929,72711517;10688606,2270338;0,561901750789682;9379,95981457603
"52";24;2;2;;4;1;;1;2;2;2;1;1;1;2;;2;97;1;2;1;5;1;1;1;1;1;1;2;1;1;1;1;97;1;2;97;2;1;1;1;1;3;2;1;3;3;2;1;1;1;1;1;2;1;1;2;2;2;1;1;2;3;2;1;;;5;1;2;1;0;0;1;97;0;2;3;2;2;1;1;1;1;1;22937254,8699374;7934345,66230122;5581173,8955491;7314042,008035;19136323,710005;0,257831607001397;7217,25548634189
"53";26;2;1;2;4;1;;2;2;2;2;2;3;2;2;;2;2;2;1;1;1;1;2;2;1;2;1;2;1;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;2;3;2;2;1;1;2;1;1;2;1;4;2;1;2;3;2;2;2;1;;2;97;0;0;0;0;;1;2;1;2;2;2;2;97;2;1;22937254,8699374;13054252,8137814;5581173,8955491;7314042,008035;19136323,710005;2,38699251297971;153591,777310313
"54";12;2;2;;2;1;;1;1;2;2;3;2;2;1;2;1;1;1;1;1;3;1;1;2;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;2;1;1;2;1;2;1;4;1;2;3;3;1;1;;;2;1;3;1;0;0;1;1;0;1;2;3;3;1;1;2;1;2;6773138,38201185;2888659,36430057;9643625,74810525;4331620,75185869;5475108,39068382;0,0252102956474454;888,574553509249
"55";17;2;1;2;2;3;;2;2;2;2;2;2;3;2;;1;2;2;2;1;3;2;2;2;2;1;1;2;1;1;1;2;2;2;1;2;1;2;1;1;2;;;;;;;;;;2;1;2;2;2;1;1;4;2;2;3;4;2;1;;;1;2;2;0;0;0;0;;1;1;1;3;4;1;1;1;2;2;6773138,38201185;4671519,09130945;9643625,74810525;2399410,71828191;5475108,39068382;0,117290313156604;4678,3977471536
"56";12;2;1;2;3;1;;2;1;1;2;3;1;2;1;3;2;3;1;2;1;1;1;2;2;1;2;1;2;1;2;1;1;2;2;1;1;2;1;1;1;2;;;;;;;;;;2;1;2;2;2;2;1;4;2;1;3;3;2;1;;;3;2;2;0;0;0;0;;1;1;3;3;2;1;1;1;2;2;6858908,59017553;2440573,74107289;9643625,74810525;2424907,60474098;5475108,39068382;0,0504205912948909;900,351195814758
"57";14;2;2;;1;1;;1;1;1;3;3;3;3;1;2;1;2;1;2;1;1;1;2;2;1;1;1;1;1;2;1;1;2;1;1;2;2;1;1;1;1;2;3;1;1;2;3;1;1;1;97;1;2;2;1;2;2;2;1;1;3;2;1;1;;;5;2;2;1;0;0;1;6;0;1;4;3;2;1;1;1;2;2;6858908,59017553;1750765,73963676;9643625,74810525;2424907,60474098;5475108,39068382;0,0153949887226552;281,351430851967
"58";24;2;2;;2;5;5;2;1;1;2;2;1;2;1;2;2;2;1;1;1;4;2;2;2;2;1;1;2;1;2;2;2;2;1;2;2;2;1;1;2;2;;;;;;;;;;1;1;97;2;1;1;1;4;1;2;3;2;1;2;2;2;;1;2;0;0;0;0;2;1;2;2;3;2;3;2;1;1;3;20907410,4102155;9185405,92676254;27097050,3254786;7314042,008035;10694694,8990073;0,515663214002795;10222,5780319197
"59";14;1;2;;1;3;;1;1;1;2;2;1;2;1;2;2;1;2;2;1;4;1;2;1;2;1;1;2;2;2;2;1;2;1;2;2;2;1;1;2;1;1;1;1;1;2;3;2;1;1;2;2;2;2;1;1;2;2;2;2;3;3;2;2;2;2;;2;97;1;0;0;1;;0;1;2;3;2;3;2;97;2;2;6773138,38201185;2888659,36430057;9643625,74810525;2424907,60474098;5475108,39068382;0,0461849661679657;1198,0842846407
"60";31;2;1;1;3;1;;2;2;2;3;2;1;2;1;2;2;3;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1;97;2;1;2;1;1;1;2;2;;;;;;;;;;2;1;2;2;1;2;1;4;2;1;3;4;1;1;;;1;2;3;0;0;0;0;;1;3;2;3;4;1;1;2;2;3;37266731,3639616;14370447,1480955;26349818,4883615;18345076,3941771;28876180,8506565;2,07694757223493;34048,2544124205
"61";53;2;1;1;2;3;;2;2;1;3;3;1;2;1;2;3;2;1;1;2;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;;;;;;;;;;2;1;1;2;1;2;1;4;2;2;3;4;1;1;;;1;1;3;0;0;0;0;;1;5;3;3;4;1;1;2;1;3;6175398,59426123;2338299,3457835;6771368,0568895;3283461,63546948;5140756,49169244;0,33302706850512;3187,56445163558
