"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10";"P11_1";"P11_2";"P11_3";"P12";"P13";"P14";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_1";"P18_2";"P18_3";"P18_4";"P19";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P20_6";"P21_1";"P21_2";"P21_3";"P21_4";"P22";"P23";"P27";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P37";"P38";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"W1";"W2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_TRAB"
"3930";24;3;2;2;1;2;2;2;2;2;2;2;1;1;2;2;4;1;3;2;3;1;1;4;1;1;1;2;4;3;1;4;4;4;4;3;1;1;1;6;;1;;;1;3;5;4;3;1;4;1;1;3;1;2;0,500909338938383;15393,2203268042;12541491,9498028;4175455,30097931;17934317,9494049;5285096,07002619;14678916,5657496
"3931";11;3;2;97;3;4;97;1;2;2;3;2;1;97;;2;2;2;97;2;3;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;;2;1;2;1;2;2;2;2;1;2;3;5;1;2;3;2;1;2;3;4,49544782757563;146212,623035629;33575137,8555733;15566687,4950334;36246752,5612894;11608593,6347444;23436201,008573
"3932";19;3;3;2;3;1;1;1;2;2;2;2;2;1;2;1;3;1;1;1;4;1;1;4;2;1;1;4;4;1;1;1;2;3;4;2;;1;1;4;1;2;2;2;1;2;3;3;4;1;4;3;2;2;1;3;1,56230955803067;31533,6366225495;37785788,021294;11827409,4960741;36246752,5612894;16986541,0890921;23436201,008573
"3933";26;2;2;3;4;1;1;1;2;2;2;1;1;1;2;4;3;1;3;3;3;2;2;3;2;1;2;3;3;2;2;3;3;2;3;3;1;1;3;4;2;1;;;2;4;4;3;2;3;4;1;1;3;2;3;1,26013166351156;28087,2370870322;37785788,021294;13759966,5114431;27019219,8719441;16986541,0890921;42303566,6020097
"3934";6;1;2;1;4;1;1;1;2;1;1;1;2;1;1;2;3;3;2;3;3;2;2;3;2;3;3;3;2;2;2;2;2;3;3;2;;1;1;4;2;2;1;2;8;;97;2;4;1;4;3;2;97;3;3;0,67696363157153;37834,9066911918;23109951,3510767;6394384,36569069;10459729,3625997;6304847,12920219;18912943,3326221
"3935";13;2;3;1;5;4;3;1;2;2;2;2;1;1;2;2;3;1;1;2;2;2;2;3;3;2;2;1;3;2;1;3;97;3;4;3;2;1;1;4;1;2;4;1;2;1;2;5;3;1;4;2;2;1;2;3;0,305569392481133;1778,8012873631;6576785,59605944;2422682,73111292;4456488,23198482;2974499,82286506;856244,0817912
"3936";23;3;2;2;4;2;2;1;2;2;1;1;1;1;2;2;2;1;3;4;2;2;2;3;1;1;1;1;4;4;2;4;4;4;4;1;;2;1;3;1;2;2;2;1;4;4;4;5;1;3;3;2;3;1;3;0,446665495744183;17222,2241634001;11515515,6430074;5343809,44930734;17934317,9494049;6496943,75539045;8116994,2648156
"3937";13;3;3;1;4;4;3;1;2;1;2;3;3;1;2;1;4;1;1;3;1;1;2;1;2;1;3;4;4;4;3;4;4;4;4;3;2;1;3;3;1;2;6;1;1;2;2;5;5;3;3;2;2;1;1;3;0,152784696240566;533,969175890467;6576785,59605944;2212370,50632613;6774440,12421244;3442194,137924;856244,0817912
"3938";18;2;2;1;3;2;1;1;2;2;2;2;1;1;2;1;2;3;3;3;3;1;1;3;1;2;2;4;1;2;2;2;2;2;3;2;;1;1;4;1;1;;;2;2;4;4;1;1;4;1;1;3;2;3;0,516950255002377;33446,2837953647;12541491,9498028;5846938,38397908;17934317,9494049;5285096,07002619;14678916,5657496
"3939";14;1;1;2;5;1;1;1;2;2;2;2;1;1;2;1;3;1;4;3;2;2;2;4;1;1;1;3;1;1;1;4;3;3;3;3;2;1;3;4;1;1;;;1;1;4;1;2;3;4;1;1;3;1;2;0,233722191703076;5929,84766095021;6782295,47091322;2817899,63437748;9550655,77936565;2248311,9098027;7350973,73893233
