"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10";"P11_1";"P11_2";"P11_3";"P12";"P13";"P14";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_1";"P18_2";"P18_3";"P18_4";"P19";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P20_6";"P21_1";"P21_2";"P21_3";"P21_4";"P22";"P23";"P27";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P37";"P38";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"W1";"W2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_TRAB"
"1";7;2;2;1;5;3;2;97;2;2;3;2;3;1;2;1;1;2;2;2;1;1;2;2;1;1;2;1;2;2;1;1;3;3;2;2;;2;1;2;1;2;2;;2;1;3;5;5;1;2;2;2;2;2;3;0,271920271681413;1266,25410681855;6003369,09289076;2212370,50632613;4456488,23198482;2119512,79353112;856244,0817912
"2";6;2;2;1;4;4;2;1;2;2;2;2;1;1;3;2;2;2;2;2;4;1;1;4;1;1;2;4;4;4;4;4;2;4;4;2;;2;1;3;1;1;;;2;2;3;2;2;1;3;1;1;2;2;1;0,541570905257224;25742,1496883382;20598732,7713667;8924923,73398304;10459729,3625997;11625346,6476257;21249094,3854223
"3";21;2;1;1;1;2;1;2;1;2;3;1;2;1;3;2;2;2;3;2;1;1;1;4;2;3;1;2;4;3;1;1;2;3;4;3;3;1;3;3;1;1;;;2;3;97;1;1;3;3;1;1;97;2;2;0,28346952658676;13936,4319474966;6782295,47091322;4323565,77363878;9550655,77936565;3745107,25072326;7350973,73893233
"4";26;2;2;2;5;1;3;1;2;2;2;2;1;1;2;2;4;1;3;2;4;2;1;4;1;1;2;2;3;1;1;1;4;3;3;3;2;1;3;4;1;2;4;;1;3;3;3;4;3;4;2;2;2;1;3;1,68017555134875;5640,0483731242;37785788,021294;11827409,4960741;27019219,8719441;16986541,0890921;5621158,26628468
"5";9;2;1;3;6;3;3;1;2;2;3;2;2;1;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;4;2;1;;;1;2;2;5;4;3;4;1;1;1;1;1;0,321052016154404;5351,97297396563;6003369,09289076;1986741,61793614;6774440,12421244;2974499,82286506;7845449,59832215
"6";22;1;2;1;5;4;2;1;1;2;3;2;3;1;3;2;3;1;2;3;3;2;2;2;3;2;2;3;3;2;2;3;3;3;2;3;1;1;3;2;2;2;6;1;2;1;3;1;1;3;1;2;2;2;2;1;0,398750550260834;13415,80789492;6782295,47091322;4323565,77363878;9550655,77936565;4880767,54450081;972423,15925125
"7";19;2;3;1;5;2;1;2;1;2;1;2;3;1;1;3;3;2;2;2;3;2;2;1;2;1;2;4;3;2;1;2;3;3;3;3;2;2;3;3;1;2;6;2;1;1;97;3;3;3;3;3;2;97;1;2;0,781154779015337;38398,3422854528;33575137,8555733;12559183,0844821;27019219,8719441;22358434,1987158;23436201,008573
"8";14;97;3;1;7;2;2;2;2;2;3;2;1;97;;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;97;;2;3;3;1;2;6;1;2;1;2;1;2;3;3;2;2;1;2;2;0,233722191703076;939,813553666022;6445651,30382502;2817899,63437748;9550655,77936565;3745107,25072326;972423,15925125
"9";9;1;1;1;4;2;1;1;1;2;1;2;1;1;2;2;3;1;2;2;2;1;1;1;1;1;2;2;1;3;2;3;3;4;3;2;;2;3;2;2;1;;;2;1;3;5;3;3;1;1;1;2;2;2;0,128420806461762;12577,4825210658;6003369,09289076;2422682,73111292;6774440,12421244;4043947,93463002;7845449,59832215
"10";3;1;2;1;6;1;2;1;1;2;1;3;1;1;2;2;3;2;3;2;3;2;1;3;2;1;2;2;3;3;2;4;2;3;3;3;2;2;3;4;1;1;;;1;3;5;1;1;3;4;1;1;3;1;3;0,251265473921803;11413,2939825566;6445651,30382502;4323565,77363878;9550655,77936565;2248311,9098027;7350973,73893233
"11";4;2;2;1;1;2;2;1;1;2;1;2;1;1;2;1;2;2;2;3;1;1;1;1;3;1;1;1;3;3;2;2;2;3;3;3;2;1;3;3;1;2;6;1;1;2;2;1;1;3;3;2;2;1;1;3;0,307058190593697;2204,44633747882;6782295,47091322;4323565,77363878;9550655,77936565;3745107,25072326;972423,15925125
"12";14;97;2;1;5;2;2;1;2;2;2;2;1;1;2;1;1;1;2;2;2;1;2;2;1;1;1;3;3;2;1;1;3;4;3;3;2;1;1;4;2;1;;;2;1;97;1;1;1;4;1;1;97;2;1;0,0584305479257689;3572,26372548115;6782295,47091322;4323565,77363878;2525639,26899086;2248311,9098027;7350973,73893233
"13";11;3;3;3;5;4;3;2;2;2;3;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;97;1;;1;1;2;2;1;;;10;1;2;3;2;1;1;1;1;1;3;3;1,19150087691845;58381,4556379439;37785788,021294;13759966,5114431;36246752,5612894;20407356,954315;42303566,6020097
"14";9;2;1;1;5;2;2;2;2;2;2;2;1;1;3;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;3;3;3;3;2;1;1;3;1;1;;;2;1;97;5;3;1;3;1;1;97;2;2;0,321052016154404;14129,9441554175;6576785,59605944;2422682,73111292;4456488,23198482;3442194,137924;7845449,59832215
"15";3;1;2;1;4;1;1;1;1;1;1;1;1;1;2;2;2;1;2;3;1;2;1;4;2;1;2;4;1;2;3;1;1;4;3;2;;1;1;4;1;2;5;;1;3;5;1;3;1;4;3;2;3;1;3;0,125632736960901;7084,74396116754;6782295,47091322;2362182,97600896;2525639,26899086;2248311,9098027;4904549,87655466
"16";8;2;2;1;4;2;1;1;2;2;2;2;1;2;;1;2;2;2;2;2;1;1;3;3;2;2;1;2;3;1;3;97;4;3;2;;1;5;3;1;2;2;;2;1;4;3;5;4;3;2;2;3;2;2;0,861387802953049;2526,31877486605;37785788,021294;15566687,4950334;807269,33951855;22358434,1987158;5621158,26628468
"17";21;2;3;3;3;2;2;1;2;2;2;1;1;1;3;1;3;1;2;3;2;1;3;2;2;2;2;2;1;2;3;3;3;3;4;3;97;2;2;4;1;1;;;2;1;2;1;1;2;4;1;1;1;2;1;0,0944898421955867;3533,69541427154;6445651,30382502;4323565,77363878;970320,37833733;2248311,9098027;7350973,73893233
"18";11;3;3;2;1;1;2;1;2;2;1;2;1;1;2;1;1;1;3;2;4;1;4;4;1;1;1;1;2;4;1;2;4;3;1;1;;1;1;4;1;1;;;8;;3;3;2;1;4;1;1;2;3;2;0,714900526151068;18699,9528254233;37785788,021294;13759966,5114431;36246752,5612894;16986541,0890921;42303566,6020097
"19";14;1;1;1;6;2;2;2;2;2;1;2;2;1;2;2;3;2;3;2;97;2;2;4;1;2;1;3;2;2;2;1;2;2;3;3;2;2;3;3;1;1;;;8;;5;1;1;3;3;1;1;3;3;3;0,116861095851538;5753,25905239003;6445651,30382502;4323565,77363878;9550655,77936565;3745107,25072326;7350973,73893233
"20";12;1;3;2;7;3;1;1;2;2;2;2;1;1;1;3;1;3;2;3;4;1;1;4;1;2;1;3;1;2;1;2;3;4;3;3;1;1;1;4;1;1;;;3;2;97;5;3;1;4;1;1;97;3;2;0,208724417528894;6001,78088280039;6576785,59605944;2422682,73111292;4456488,23198482;2974499,82286506;7845449,59832215
"21";23;2;2;1;6;2;2;1;2;2;2;2;1;1;1;1;4;1;3;3;3;1;1;2;1;2;1;4;3;2;1;3;3;2;3;4;;1;1;4;1;1;;;2;4;3;4;2;1;4;1;1;2;2;2;0,223332747872091;9054,77967653293;12541491,9498028;4544842,78151702;17934317,9494049;5285096,07002619;14678916,5657496
"22";22;2;3;1;5;4;2;2;2;2;3;2;3;1;3;1;2;2;2;2;2;3;1;2;2;2;2;2;3;2;2;2;2;3;4;3;2;2;3;2;1;2;6;1;8;;2;1;1;3;2;2;2;1;3;2;0,398750550260834;3353,35115487551;6445651,30382502;4323565,77363878;9550655,77936565;2353760,06971147;972423,15925125
"23";26;1;2;2;6;2;2;1;2;2;2;2;1;1;2;1;2;2;97;3;97;2;2;3;2;2;1;2;3;3;2;4;4;3;3;97;;1;1;4;1;1;;;2;3;97;3;1;1;4;1;1;97;2;3;1,68017555134875;71057,8643066778;37785788,021294;17647679,2898346;36246752,5612894;16986541,0890921;42303566,6020097
"24";7;3;2;3;5;2;3;2;2;2;2;2;97;1;2;3;2;2;3;3;2;2;2;2;3;2;2;3;2;3;2;3;4;4;4;1;;1;3;2;1;2;4;;1;1;97;5;4;3;2;3;2;97;1;3;0,0247200246983103;638,880634931621;6576785,59605944;1986741,61793614;6774440,12421244;2119512,79353112;3878461,00883685
"25";1;97;3;1;1;3;2;2;2;2;2;2;1;1;1;2;97;1;97;2;97;2;1;97;1;2;97;97;97;97;97;2;2;3;97;2;;2;3;4;2;2;6;2;2;1;97;1;4;3;4;3;2;97;2;2;0,230494314075317;5813,86061354202;6445651,30382502;1719164,17150939;9550655,77936565;2248311,9098027;4904549,87655466
"26";17;2;2;1;4;2;2;2;2;2;3;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;3;2;1;2;3;2;4;4;3;2;1;1;4;1;2;6;1;1;2;97;2;1;1;4;2;2;97;1;1;0,41079232404135;3579,66229020934;23109951,3510767;12210356,2330292;10459729,3625997;6304847,12920219;3546646,40439905
"27";9;1;2;1;2;2;2;2;2;2;3;2;1;1;2;1;3;1;2;2;1;2;2;2;2;1;1;2;2;1;1;2;4;4;2;3;2;2;1;4;2;2;3;;1;3;97;5;1;1;4;3;2;97;1;3;0,160526008077202;12386,8822077676;6003369,09289076;3401595,02358408;4456488,23198482;2974499,82286506;3878461,00883685
"28";6;1;3;3;5;4;3;2;2;2;3;2;2;1;1;3;2;2;3;2;3;2;2;3;1;2;3;3;2;3;2;3;3;3;2;2;;2;5;1;;2;7;;2;3;1;2;1;4;1;3;2;1;2;2;0,812356357885836;62779,5048764906;20598732,7713667;12210356,2330292;346529,95194149;18999137,1726723;18912943,3326221
"29";5;2;2;1;6;3;3;2;2;2;2;2;1;1;2;1;3;1;2;2;2;1;2;2;1;1;1;2;3;2;1;3;3;3;4;4;;1;3;2;1;2;4;;1;3;97;2;3;3;2;2;2;97;1;1;0,755170267894973;2029,31755991004;23109951,3510767;7605298,17259807;27680342,4585361;6779353,17294315;3546646,40439905
"30";11;1;1;1;7;2;1;2;2;2;2;1;2;2;;2;3;1;3;2;3;2;2;3;3;3;1;3;3;2;3;2;2;3;3;2;;2;1;3;1;1;;;1;4;3;3;2;1;3;1;1;2;1;3;1,79817913103025;87015,4702667293;33575137,8555733;13759966,5114431;36246752,5612894;22358434,1987158;42303566,6020097
"31";11;2;2;2;5;4;3;1;2;2;3;2;3;1;2;1;3;1;2;2;1;1;2;3;2;1;1;1;3;3;2;1;3;3;3;3;3;2;1;2;1;2;5;;1;4;2;3;3;1;2;3;2;1;1;1;1,42980105230214;65609,231195638;33575137,8555733;12559183,0844821;36246752,5612894;11608593,6347444;23436201,008573
"32";27;3;2;1;5;4;2;2;2;2;2;2;1;2;;3;2;1;3;3;3;2;3;3;2;2;97;3;3;3;3;3;3;3;3;1;;2;3;2;2;2;2;;2;1;2;1;5;3;1;3;2;1;2;1;0,262063797662108;62805,6067542206;6445651,30382502;2005134,21920363;9550655,77936565;4880767,54450081;4904549,87655466
"33";14;2;1;1;6;2;1;1;2;1;1;2;1;1;2;1;1;1;2;2;1;1;1;2;1;1;1;1;2;2;2;2;4;2;3;3;2;2;3;3;1;1;;;1;4;3;1;1;3;3;1;1;2;1;3;0,116861095851538;5753,25905239003;6445651,30382502;4323565,77363878;9550655,77936565;3745107,25072326;7350973,73893233
"34";13;1;1;1;6;1;2;2;2;2;2;2;1;1;2;1;4;1;3;1;4;4;4;3;2;1;2;1;4;3;1;4;4;4;4;1;;1;2;4;1;1;;;1;3;3;5;1;2;4;1;1;2;1;3;0,305569392481133;17522,8089159352;6576785,59605944;3401595,02358408;1193251,61830932;2974499,82286506;7845449,59832215
"35";16;2;2;1;4;4;3;2;2;2;3;2;2;1;3;1;2;1;2;4;2;2;2;1;2;2;1;1;2;2;2;1;2;4;4;3;2;1;1;4;1;2;7;;1;2;2;2;2;1;4;3;2;1;1;2;0,856122689759204;36469,05081631;23109951,3510767;8924923,73398304;10459729,3625997;6304847,12920219;18912943,3326221
"36";26;3;3;97;8;2;97;2;2;2;2;2;1;1;97;1;3;2;2;3;2;1;1;2;2;2;2;2;97;3;2;97;3;4;3;97;;1;3;5;;2;6;1;1;1;97;3;3;3;1;2;2;97;1;3;8,40087775674373;81609,3799795431;37785788,021294;12559183,0844821;27019219,8719441;20407356,954315;5621158,26628468
"37";22;2;2;3;5;4;1;1;2;2;3;3;1;1;2;3;2;2;3;97;2;1;2;1;3;1;2;4;1;4;2;3;3;3;4;97;;1;3;4;1;1;;;2;1;4;1;2;3;4;1;1;3;2;2;0,265833700173889;6744,55999959343;6782295,47091322;2817899,63437748;9550655,77936565;2248311,9098027;7350973,73893233
"38";19;1;2;1;6;2;1;1;1;2;1;2;1;2;;1;2;1;1;2;1;1;2;3;2;1;2;3;2;2;2;1;2;3;2;2;;2;3;3;1;2;2;;10;1;4;3;5;3;3;2;2;3;3;3;1,39632615380545;9495,28100035564;33575137,8555733;15566687,4950334;27019219,8719441;22358434,1987158;5621158,26628468
"39";13;2;1;1;2;4;3;97;97;97;2;2;1;2;;3;2;1;97;3;3;1;2;3;1;2;4;2;3;3;3;3;1;4;3;2;;1;3;1;;2;2;;1;3;2;5;5;3;1;2;2;1;1;1;0,305569392481133;2977,92450942005;6576785,59605944;2212370,50632613;6774440,12421244;4043947,93463002;856244,0817912
"40";4;2;2;1;4;1;1;1;1;1;1;1;1;1;3;1;2;1;1;3;3;1;2;3;1;1;1;4;1;4;4;1;1;4;3;2;;2;2;4;2;1;;;1;4;3;1;2;2;4;1;1;2;1;3;1,22823276237479;25691,4621174847;6445651,30382502;2817899,63437748;970320,37833733;2248311,9098027;7350973,73893233
"41";13;2;2;97;5;2;2;2;2;2;2;2;97;1;1;2;2;2;3;2;3;2;2;2;97;2;2;2;2;2;2;2;2;3;2;2;;2;3;3;1;1;;;1;4;97;5;1;3;3;1;1;97;1;2;0,305569392481133;16742,9211502835;6003369,09289076;3401595,02358408;6774440,12421244;3442194,137924;7845449,59832215
"42";11;2;2;1;1;3;2;2;2;2;2;1;3;2;;1;2;1;2;2;2;1;3;3;2;1;1;2;2;2;1;1;2;4;4;3;1;1;3;2;1;1;;;1;4;2;3;1;3;2;1;1;1;1;3;1,0723507892266;54767,0073390758;37785788,021294;17647679,2898346;27019219,8719441;11608593,6347444;42303566,6020097
"43";11;1;3;2;4;4;3;1;2;2;1;2;2;1;3;2;3;2;2;3;3;1;1;1;2;2;1;3;4;2;3;2;2;3;3;4;;2;4;3;1;2;6;1;2;1;2;3;4;4;3;2;2;1;2;3;1,55978296614779;4337,94244501456;33575137,8555733;11827409,4960741;807269,33951855;22358434,1987158;5621158,26628468
"44";23;2;2;3;1;4;3;2;2;2;3;2;97;1;3;1;4;2;97;2;3;2;97;1;2;1;1;3;4;2;1;3;4;4;4;3;97;1;1;3;1;1;;;97;5;97;4;1;1;3;1;1;97;97;2;0,446665495744183;44847,1970673424;12541491,9498028;5846938,38397908;17934317,9494049;6496943,75539045;14678916,5657496
"45";27;1;1;1;4;1;1;1;2;2;1;97;1;1;2;1;3;2;3;2;3;1;1;4;1;2;3;4;3;2;3;3;2;4;3;2;;2;3;2;1;2;1;;1;4;4;1;4;3;2;2;2;3;1;1;0,262063797662108;812,925912908454;6445651,30382502;1719164,17150939;9550655,77936565;2353760,06971147;972423,15925125
"46";6;2;2;1;5;2;1;1;2;2;2;3;97;1;97;2;3;3;3;2;4;2;2;3;1;1;1;2;2;2;1;1;3;97;4;97;;2;2;1;;1;;;97;4;2;2;3;2;1;1;1;1;97;2;0,812356357885836;79766,1100937195;20598732,7713667;7605298,17259807;5222082,34936612;18999137,1726723;21249094,3854223
"47";3;2;2;1;4;2;1;2;2;2;2;2;2;1;2;1;2;1;2;4;3;1;1;3;2;1;1;2;1;1;2;2;1;4;4;2;;2;3;3;1;1;;;2;2;2;1;3;3;3;1;1;1;2;3;0,125632736960901;3789,69768612297;6445651,30382502;2362182,97600896;9550655,77936565;3745107,25072326;7350973,73893233
"48";6;3;1;2;4;4;2;2;2;2;2;2;3;1;3;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;3;1;2;2;;2;5;3;1;1;;;1;4;3;2;1;4;3;1;1;2;1;2;0,812356357885836;12147,5369131138;20598732,7713667;12210356,2330292;346529,95194149;11625346,6476257;21249094,3854223
"49";14;1;1;2;6;2;2;1;2;2;1;1;1;1;2;1;2;2;3;3;3;1;1;3;1;1;1;4;3;2;1;4;3;4;3;3;2;1;1;4;1;1;;;2;1;4;1;2;1;4;1;1;3;2;1;0,116861095851538;3996,11210496129;6782295,47091322;2817899,63437748;2525639,26899086;2248311,9098027;7350973,73893233
"50";5;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1;3;1;2;2;2;2;2;2;2;2;1;3;2;3;2;3;4;4;4;3;1;2;1;3;2;2;1;;1;3;3;2;1;1;2;2;2;2;1;1;0,377585133947486;5090,43364640331;20598732,7713667;12210356,2330292;10459729,3625997;6779353,17294315;3546646,40439905
"51";9;3;2;3;5;4;3;1;2;2;1;2;2;2;;1;3;2;3;97;3;2;2;2;97;1;2;2;2;2;1;1;4;4;4;2;;1;1;2;2;1;;;1;2;2;5;4;1;1;1;1;1;1;1;0,107017338718135;9540,97019262399;6576785,59605944;1986741,61793614;4456488,23198482;4043947,93463002;7845449,59832215
"52";15;2;2;2;5;2;2;1;1;2;1;1;1;1;2;2;2;2;3;2;2;2;2;2;3;3;4;1;3;2;2;2;3;3;3;2;;1;1;3;1;2;7;;2;2;2;2;2;1;3;3;2;1;2;1;5,41161018880414;468504,785049553;23109951,3510767;8924923,73398304;10459729,3625997;11625346,6476257;18912943,3326221
"53";26;3;3;3;1;1;1;1;1;1;1;97;1;1;2;1;4;2;3;4;2;3;1;3;1;1;1;1;4;4;1;4;4;1;4;1;;2;3;4;1;1;;;8;;5;3;2;3;4;1;1;3;3;2;0,840087775674373;19443,3949764485;33575137,8555733;13759966,5114431;27019219,8719441;16986541,0890921;42303566,6020097
"54";14;1;1;1;5;3;2;1;2;2;2;2;2;1;2;1;2;1;2;2;1;2;1;1;2;1;1;1;4;3;1;1;4;4;4;1;;1;2;2;2;2;6;1;2;1;2;1;2;2;1;2;2;1;2;1;0,701166575109227;10863,4231517098;6782295,47091322;2817899,63437748;970320,37833733;4880767,54450081;972423,15925125
"55";2;2;3;1;6;4;2;2;2;2;3;2;1;97;;2;2;1;2;2;2;1;2;2;2;1;2;2;3;3;1;2;3;4;3;2;;2;3;3;2;2;7;;1;3;2;2;3;3;2;2;2;1;1;2;0,710870584570834;2516,63120991689;20598732,7713667;7605298,17259807;27680342,4585361;6779353,17294315;3546646,40439905
"56";19;3;2;1;5;3;2;2;2;1;3;2;1;1;2;1;4;1;3;4;97;1;1;4;2;1;1;1;4;1;1;2;4;4;3;3;1;1;3;3;2;1;;;8;;97;3;1;3;2;1;1;97;3;3;1,56230955803067;79790,1394675931;37785788,021294;17647679,2898346;27019219,8719441;11608593,6347444;42303566,6020097
"57";10;2;3;1;1;4;2;1;2;2;2;2;2;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;2;3;2;4;3;4;2;2;;2;1;3;1;2;6;1;1;3;97;2;1;1;3;2;2;97;1;1;0,388964213458969;9075,11963836606;20598732,7713667;12210356,2330292;10459729,3625997;11625346,6476257;3546646,40439905
"58";24;2;1;1;6;3;2;1;1;2;2;2;2;1;2;2;3;1;2;2;3;2;2;3;1;2;2;2;3;2;2;2;2;4;3;3;1;1;1;3;1;2;4;;2;4;3;4;3;1;3;2;2;2;2;2;0,7618285219805;4604,93432152845;12541491,9498028;4175455,30097931;17934317,9494049;6496943,75539045;1261096,76224488
"59";9;1;2;1;4;2;2;2;2;2;2;1;1;2;;2;2;1;2;1;2;2;2;2;1;2;2;2;3;2;2;3;2;3;3;2;;2;3;3;2;2;1;;1;1;3;5;2;3;2;3;2;2;1;1;0,160526008077202;5967,97712688374;6003369,09289076;2556764,80999093;6774440,12421244;2119512,79353112;3878461,00883685
"60";27;2;2;1;7;2;2;2;2;1;2;2;1;1;3;2;3;2;2;2;2;2;2;3;2;2;2;3;3;2;2;2;3;4;4;3;2;1;3;3;1;2;4;;1;2;2;1;1;3;3;3;2;1;1;2;0,524127595324215;38792,0078798016;6782295,47091322;4323565,77363878;9550655,77936565;3745107,25072326;4904549,87655466
"61";26;2;2;1;4;1;2;2;2;1;1;3;1;1;2;2;2;1;2;2;4;3;2;3;2;1;1;1;2;2;2;2;3;1;4;4;;2;1;3;1;1;;;1;3;3;3;1;1;3;1;1;2;1;3;1,68017555134875;131456,109382348;33575137,8555733;17647679,2898346;36246752,5612894;22358434,1987158;42303566,6020097
"62";23;2;3;3;97;4;2;97;2;2;3;3;3;97;;1;4;2;97;3;3;2;97;2;3;97;2;3;3;2;2;2;4;2;3;4;;1;3;3;2;1;;;4;3;2;4;4;3;2;1;1;1;3;2;0,148888498581394;3446,54047401293;12541491,9498028;4145961,67702737;4807349,31831882;4258647,17765672;14678916,5657496
"63";13;1;2;97;6;1;1;1;1;1;1;1;97;2;;97;3;1;4;2;97;1;97;4;97;3;4;3;97;97;3;3;1;4;97;97;;2;3;4;1;1;;;3;2;4;5;5;3;4;1;1;3;3;2;0,101856464160378;1331,75548926744;6003369,09289076;2212370,50632613;6774440,12421244;2974499,82286506;7845449,59832215
"64";14;3;3;1;2;1;3;1;2;2;2;2;1;1;2;1;3;1;2;2;1;3;2;3;3;1;2;3;3;1;1;4;4;4;4;1;;1;3;3;1;1;;;1;1;2;1;3;3;3;1;1;1;1;2;0,233722191703076;7040,49088750997;6782295,47091322;2362182,97600896;9550655,77936565;3745107,25072326;7350973,73893233
"65";9;3;3;1;4;4;3;2;2;2;2;2;1;1;2;4;2;1;2;3;1;1;1;2;2;1;1;2;2;4;2;1;1;4;4;2;;2;3;2;2;1;;;1;3;2;5;4;3;1;1;1;1;1;2;0,160526008077202;11421,1433577537;6003369,09289076;1986741,61793614;6774440,12421244;4043947,93463002;7845449,59832215
"66";3;2;2;1;3;2;2;1;2;2;2;1;3;1;2;97;2;2;1;1;2;1;2;3;2;2;2;3;4;3;4;2;3;4;3;3;1;2;3;3;1;1;;;8;;3;1;2;3;3;1;1;2;3;3;0,251265473921803;6918,96200533842;6445651,30382502;2817899,63437748;9550655,77936565;3745107,25072326;7350973,73893233
"67";6;3;1;3;4;1;1;2;1;2;2;2;97;1;2;2;1;1;3;2;4;2;3;2;3;1;1;3;97;2;1;2;3;3;3;97;;1;5;4;1;2;6;1;1;1;2;2;2;4;4;2;2;1;1;1;0,812356357885836;572,891911888202;23109951,3510767;8924923,73398304;346529,95194149;6304847,12920219;3546646,40439905
"68";17;3;3;2;2;4;3;1;2;2;2;2;3;1;2;4;3;2;3;4;3;4;2;3;2;1;2;3;2;2;2;3;4;3;4;4;;2;3;3;1;2;1;;8;;2;2;2;3;3;3;2;1;3;3;0,41079232404135;34120,6114826905;20598732,7713667;8924923,73398304;27680342,4585361;11625346,6476257;18912943,3326221
"69";19;3;2;3;5;4;3;2;2;2;2;2;2;1;2;2;2;2;3;2;97;2;2;2;3;2;2;2;2;2;2;3;3;3;2;97;;1;2;2;2;2;5;;2;1;2;3;4;2;1;2;2;1;2;1;3,25809435887937;34419,7969031294;37785788,021294;11827409,4960741;7287684,10411524;20407356,954315;5621158,26628468
"70";18;2;2;2;4;4;2;2;2;2;1;2;1;1;3;1;2;2;3;2;2;2;1;2;2;3;1;3;3;2;2;3;3;3;3;3;2;1;1;3;1;2;2;;2;4;3;4;5;1;3;2;2;2;2;3;1,30858227454961;10332,158253809;12541491,9498028;5343809,44930734;17934317,9494049;6496943,75539045;1261096,76224488
"71";18;2;2;1;5;4;3;1;2;2;3;2;97;1;2;2;3;2;2;3;97;2;2;2;3;2;2;97;97;3;97;4;4;3;4;4;;1;1;2;2;1;;;2;2;97;4;3;1;1;1;1;97;2;2;0,387712691251783;46489,7076614396;12541491,9498028;4175455,30097931;17934317,9494049;8016320,58973676;14678916,5657496
"72";15;2;2;1;5;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;3;1;3;1;2;2;1;3;2;2;2;4;3;1;4;2;;1;3;2;2;2;3;;1;2;97;2;1;3;1;3;2;97;1;1;0,901935031467357;241477,375448013;23109951,3510767;12210356,2330292;27680342,4585361;18999137,1726723;18912943,3326221
"73";6;2;3;1;6;4;3;2;2;2;2;2;1;1;2;1;3;1;2;2;2;1;1;2;1;2;2;2;2;3;3;4;4;4;3;2;;2;2;2;1;1;;;1;4;2;2;4;2;2;1;1;1;1;1;0,812356357885836;39492,7864650527;20598732,7713667;6394384,36569069;5222082,34936612;6779353,17294315;21249094,3854223
"74";7;1;1;1;5;4;2;1;2;2;2;2;97;2;;2;2;2;3;2;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;3;2;2;3;3;1;2;6;1;2;4;5;5;1;3;3;2;2;3;2;3;0,135960135840707;1508,14700957103;6003369,09289076;3401595,02358408;6774440,12421244;3442194,137924;856244,0817912
"75";16;2;3;1;5;3;3;97;2;2;2;3;3;1;3;2;2;1;2;4;2;2;1;2;1;1;1;3;3;2;1;2;3;3;4;1;;1;5;3;2;2;4;;1;4;2;2;4;4;2;3;2;1;1;3;1,71224537951841;17931,5920094175;23109951,3510767;6394384,36569069;346529,95194149;6779353,17294315;18912943,3326221
"76";2;3;3;2;3;2;2;1;2;2;2;3;2;2;;1;3;1;3;2;3;1;3;4;2;1;2;3;2;2;1;1;4;3;4;97;;2;3;4;1;1;;;1;1;4;2;2;3;4;1;1;3;1;3;0,781957643027918;13318,5424689905;20598732,7713667;8924923,73398304;27680342,4585361;6304847,12920219;21249094,3854223
"77";18;1;2;1;1;4;1;97;2;2;3;3;97;2;;2;2;2;97;2;3;2;97;3;2;2;3;2;3;3;3;4;3;3;3;2;;1;1;3;2;2;6;1;2;2;97;4;3;1;2;2;2;97;2;3;0,516950255002377;3667,9826270109;12541491,9498028;4175455,30097931;17934317,9494049;4258647,17765672;1261096,76224488
"78";17;1;1;2;7;1;2;1;1;2;1;1;1;1;3;1;4;1;2;3;2;1;2;3;1;2;1;2;2;2;1;3;2;3;3;3;1;2;3;4;1;1;;;1;4;5;2;3;3;4;1;1;3;1;3;0,616188486062026;7461,32620293938;20598732,7713667;7605298,17259807;27680342,4585361;6304847,12920219;21249094,3854223
"79";16;2;3;2;5;2;2;2;2;2;3;2;3;1;3;2;2;2;2;3;3;2;2;2;2;2;2;3;2;2;2;3;3;2;3;2;;1;3;2;2;2;7;;1;2;2;2;3;3;1;3;2;1;1;1;0,856122689759204;82650,0808891019;23109951,3510767;7605298,17259807;27680342,4585361;18999137,1726723;18912943,3326221
"80";5;2;3;1;6;2;2;97;2;2;2;2;1;1;2;1;4;1;2;2;2;1;1;2;2;1;1;2;4;4;1;1;4;2;4;3;1;1;1;3;1;2;3;;1;4;3;2;1;1;3;3;2;2;1;3;0,755170267894973;128900,707572042;23109951,3510767;12210356,2330292;10459729,3625997;11625346,6476257;18912943,3326221
