"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10_1";"P10_2";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P21_1";"P21_2";"P21_3";"P21_4";"P21_5";"P21_6";"P22";"P23";"P24";"V05";"V07";"V08";"V09";"V09_A";"V09_B_1";"V09_B_2";"V09_B_3";"V09_B_4";"V09_B_97";"V10";"V11";"V12";"V12_A";"V13";"V14";"V14_A";"V14_B";"V14_C";"V14_D";"V14_F";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_DOM_SIMPLES";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"2123";27;3;5;2;1;2;1;1;2;1;1;3;2;27;1;3;6;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;2;1;4;1;3;4;1;2;2;2;2;2;2;1;;;1;1;2;2;3;1;;;2;4;3;4;1;1;1;1;1;3;24016636,1990366;6803249,7668619;28042475,6364488;6955158,89754272;10843662,275684;0,445522398427116;8705,60573450313
"2124";35;1;4;1;3;1;1;2;5;3;3;2;1;35;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;2;1;2;4;2;1;4;1;2;2;2;2;2;2;1;;;5;1;2;1;;;;;3;2;1;4;1;1;1;1;1;2;33729345,155718;13215495,0630608;38434986,0707912;19056393,9532222;28682242,4740766;0,879264257922035;28999,801714008
"2125";31;3;5;4;1;2;1;2;4;1;1;1;3;31;1;6;2;2;1;1;1;1;1;1;2;1;2;2;1;2;1;97;2;97;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;1;2;2;3;2;1;1;3;5;1;1;3;2;1;1;2;2;39313715,0641353;18051853,6107218;38434986,0707912;19816630,074653;28682242,4740766;1,65380440581131;215126,626959776
"2126";35;3;5;4;4;3;97;2;5;3;2;3;2;35;2;;;1;1;2;1;2;1;1;2;1;2;2;2;2;2;2;2;1;4;2;1;1;;2;2;2;2;2;2;2;2;2;;1;2;2;2;1;;;3;5;1;1;3;2;1;1;1;3;33729345,155718;18051853,6107218;38434986,0707912;19816630,074653;29495819,6060058;3,06139576693439;391775,43809334
"2127";33;3;5;1;7;1;2;2;3;1;97;1;2;33;1;6;2;2;2;1;2;1;1;2;2;1;1;2;2;2;1;1;2;97;4;2;1;3;1;2;2;2;2;2;2;2;2;2;;1;97;2;4;1;;;3;5;1;3;3;2;97;1;1;3;33729345,155718;18051853,6107218;38434986,0707912;23063521,2050712;29495819,6060058;2,30503232585913;129379,842183792
"2128";23;2;2;4;4;1;2;2;3;1;1;1;2;23;1;1;4;2;1;2;2;1;1;2;1;1;1;2;2;2;2;2;2;2;4;1;3;3;2;2;2;2;2;2;2;2;2;1;;2;2;2;4;2;1;1;2;1;3;2;2;2;1;2;2;3;24016636,1990366;12114338,2670676;28042475,6364488;6779182,58867662;10843662,275684;0,453686778091558;22681,1511931142
"2129";26;2;4;2;1;2;2;2;3;1;1;1;2;26;1;7;97;2;2;1;1;1;1;1;2;1;2;2;1;2;97;2;1;1;1;2;3;4;1;2;2;2;2;2;2;2;2;2;;4;4;2;3;1;;;2;5;3;4;3;2;3;3;1;3;20650371,2362658;9007522,92940827;28042475,6364488;6955158,89754272;10843662,275684;1,31493965087524;54968,8844984606
"2130";35;2;5;3;1;2;1;2;3;1;1;1;2;35;1;2;3;2;1;1;2;2;1;2;1;1;1;2;1;2;2;1;2;2;4;2;1;3;1;2;2;2;2;2;2;1;;;1;1;2;2;4;1;;;3;1;1;3;1;1;1;1;1;3;33729345,155718;16426598,6548108;38434986,0707912;23063521,2050712;29495819,6060058;0,439632128961017;25004,5628542448
"2131";41;1;5;3;3;2;2;2;1;1;1;3;3;15;1;4;3;2;1;2;2;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;4;2;2;2;2;2;2;2;1;;;3;2;97;2;5;2;1;1;4;1;1;4;1;1;97;2;2;2;11713407,8682251;5477973,27518231;18888615,4929057;6035664,3758086;10940047,4281071;0,458318128606722;29936,896474974
"2132";35;97;5;2;1;2;2;2;4;1;1;1;2;35;2;;;2;1;1;1;2;1;1;2;1;1;2;1;2;2;2;2;1;4;1;1;3;1;2;2;2;2;2;2;2;2;2;;1;97;2;4;1;;;3;3;1;3;3;2;97;1;1;3;39313715,0641353;13074442,5753399;38434986,0707912;23063521,2050712;29495819,6060058;0,879264257922035;39121,2467626478
