"ID";"P01";"P02";"P03";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_1";"P13_2";"P13_3";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"VD_P19";"VD_IDADE";"VD_ESCOLARIDADE";"VD_RENDA";"VD_TIPOTEL";"W1";"W2"
"778";25;4;1;2;3;3;4;3;3;2;1;3;1;2;1;3;3;3;1;2;2;;;;2;5;2;3;3;3;1;2;"3";"1.00623709111664";"122499.515789474"
"779";25;4;1;3;3;3;6;2;3;1;2;5;1;2;2;3;3;5;1;1;1;1;97;2;2;6;5;3;3;4;3;2;"3";"1.00623709111664";"122499.515789474"
"780";25;4;1;2;2;1;5;1;2;1;1;5;1;2;1;3;3;5;3;1;1;1;1;1;2;3;6;3;3;1;4;2;"3";"1.00623709111664";"122499.515789474"
"781";13;4;1;1;3;3;4;1;3;1;2;5;1;2;2;3;3;5;3;2;1;2;1;1;2;6;6;97;3;4;4;97;"3";"1.00623709111664";"122499.515789474"
"782";13;4;1;2;3;3;4;2;3;97;1;5;1;2;2;2;3;4;1;1;1;2;1;1;2;7;6;3;3;4;4;2;"3";"1.00623709111664";"122499.515789474"
"783";13;4;1;3;3;97;1;1;2;1;1;3;1;2;2;2;3;3;1;2;1;2;1;1;2;6;5;1;3;4;3;1;"3";"1.00623709111664";"122499.515789474"
"784";13;4;1;2;3;1;6;1;2;2;1;5;1;2;1;2;3;3;4;2;1;2;1;1;2;1;3;1;3;1;2;1;"3";"1.00623709111664";"122499.515789474"
"785";13;4;1;2;2;97;6;2;3;3;1;5;1;2;2;3;2;3;4;2;1;1;1;1;2;3;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"786";13;4;1;2;2;1;6;2;3;1;1;3;1;1;2;3;3;4;4;2;1;1;2;1;2;4;5;3;3;2;3;2;"3";"1.00623709111664";"122499.515789474"
"787";13;4;1;2;2;2;4;1;2;1;1;3;1;2;2;2;2;3;8;2;1;2;2;2;2;5;6;5;2;3;4;3;"3";"1.00623709111664";"122499.515789474"
"788";13;4;1;3;2;1;4;2;1;1;1;5;2;2;2;2;2;4;1;1;1;2;2;2;2;3;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"789";13;4;1;3;2;2;5;1;3;1;3;5;1;2;2;3;2;4;1;1;1;2;2;2;2;5;5;4;3;3;3;3;"3";"1.00623709111664";"122499.515789474"
"790";13;4;1;3;3;1;5;1;3;1;1;2;1;2;1;2;1;2;5;1;1;1;2;1;2;5;5;2;3;3;3;1;"3";"1.00623709111664";"122499.515789474"
"791";13;4;1;3;3;1;4;4;1;1;1;4;1;2;2;3;3;5;6;2;1;2;2;1;2;6;3;3;2;4;2;2;"3";"1.00623709111664";"122499.515789474"
"792";19;4;1;2;3;3;2;2;3;1;1;4;1;2;2;3;3;3;4;2;1;1;2;2;2;4;5;2;3;2;3;1;"3";"1.00623709111664";"122499.515789474"
"793";19;4;1;1;2;1;4;3;3;1;2;3;1;2;1;2;3;3;6;2;1;1;97;1;2;7;5;4;2;4;3;3;"3";"1.00623709111664";"122499.515789474"
"794";19;4;1;3;3;1;4;1;2;2;1;4;1;2;2;3;3;2;6;2;1;2;1;2;2;4;5;2;2;2;3;1;"3";"1.00623709111664";"122499.515789474"
"795";19;4;1;1;3;1;6;2;1;1;1;5;1;2;2;3;3;5;1;2;1;2;1;1;2;5;5;5;3;3;3;3;"3";"1.00623709111664";"122499.515789474"
"796";19;4;1;2;3;3;4;4;1;1;3;5;1;2;2;3;3;5;1;2;1;2;2;1;2;6;5;3;3;4;3;2;"3";"1.00623709111664";"122499.515789474"
"797";19;4;1;2;3;3;5;2;3;2;1;3;1;2;2;2;2;3;1;2;1;2;97;97;2;7;2;3;3;4;1;2;"3";"1.00623709111664";"122499.515789474"
"798";19;4;1;97;97;97;1;4;2;1;3;2;2;2;2;3;3;4;1;2;1;2;2;2;2;7;2;97;3;4;1;97;"3";"1.00623709111664";"122499.515789474"
"799";19;4;1;2;2;1;4;3;1;1;97;5;1;2;1;1;3;4;4;2;1;2;97;97;2;6;2;2;3;4;1;1;"3";"1.00623709111664";"122499.515789474"
"800";19;4;1;3;3;1;2;1;2;1;1;3;1;2;2;2;3;3;5;1;2;;;;2;3;6;2;3;1;4;1;"3";"1.00623709111664";"122499.515789474"
"801";19;4;1;3;3;1;5;4;3;2;3;3;1;2;2;3;2;3;4;2;1;2;1;2;2;6;2;2;3;4;1;1;"3";"1.00623709111664";"122499.515789474"
"802";13;4;1;1;1;1;4;2;3;1;1;5;1;2;2;2;2;3;7;1;1;1;2;2;2;3;6;3;2;1;4;2;"3";"1.00623709111664";"122499.515789474"
"803";13;4;1;3;3;3;4;3;1;1;1;5;1;2;2;3;3;5;9;2;1;2;2;2;2;5;2;2;1;3;1;1;"3";"1.00623709111664";"122499.515789474"
"804";13;4;1;3;3;3;4;1;3;1;1;5;1;2;2;3;3;5;1;2;1;2;1;1;2;4;5;97;3;2;3;97;"3";"1.00623709111664";"122499.515789474"
"805";13;4;1;3;3;3;4;4;2;1;97;5;1;2;2;2;2;5;1;2;1;1;2;2;2;6;2;2;3;4;1;1;"3";"1.00623709111664";"122499.515789474"
"806";13;4;1;3;3;3;6;2;3;2;3;5;1;2;2;3;3;5;1;2;1;2;1;1;2;6;5;3;3;4;3;2;"3";"1.00623709111664";"122499.515789474"
"807";13;4;1;3;2;3;5;2;97;1;1;4;1;2;1;3;3;4;1;2;1;2;2;1;2;3;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"808";13;4;1;2;2;2;1;2;3;2;3;4;1;2;2;3;2;3;6;2;1;2;2;1;2;4;5;3;2;2;3;2;"3";"1.00623709111664";"122499.515789474"
"809";13;4;1;2;1;1;5;3;3;1;1;2;1;1;1;2;2;3;5;1;2;;;;2;2;5;1;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"810";13;4;1;2;3;2;5;3;2;3;1;2;1;2;1;1;1;2;9;2;1;1;2;2;2;7;2;3;1;4;1;2;"3";"1.00623709111664";"122499.515789474"
"811";19;4;1;3;3;3;4;1;3;1;1;5;1;2;2;3;3;5;1;2;1;2;1;1;2;5;6;2;3;3;4;1;"3";"1.00623709111664";"122499.515789474"
"812";19;4;1;3;3;2;5;4;2;1;1;4;1;2;1;3;2;3;1;2;2;;;;2;7;2;2;3;4;1;1;"3";"1.00623709111664";"122499.515789474"
"813";19;4;1;2;3;1;4;1;3;2;1;4;1;2;2;3;2;4;3;2;1;2;2;1;2;4;5;3;3;2;3;2;"3";"1.00623709111664";"122499.515789474"
"814";19;4;1;2;2;3;1;1;2;1;1;5;1;2;2;3;3;5;1;2;1;2;2;2;2;3;6;2;3;1;4;1;"3";"1.00623709111664";"122499.515789474"
"815";19;4;1;3;3;2;4;2;3;2;3;5;97;2;2;3;3;5;6;2;1;2;2;2;2;4;6;3;2;2;4;2;"3";"1.00623709111664";"122499.515789474"
"816";19;4;1;3;2;3;4;2;1;1;1;5;1;1;2;2;3;4;4;2;1;2;2;2;2;3;6;3;3;1;4;2;"3";"1.00623709111664";"122499.515789474"
"817";19;4;1;2;3;3;4;1;3;1;3;5;1;2;2;3;2;5;1;2;1;1;2;2;2;5;5;3;3;3;3;2;"3";"1.00623709111664";"122499.515789474"
"818";8;4;1;2;3;2;1;2;3;1;1;3;1;2;2;2;1;3;8;1;1;2;1;1;2;4;5;3;2;2;3;2;"3";"1.00623709111664";"122499.515789474"
"819";8;4;1;3;3;2;4;2;97;97;3;5;1;2;2;3;3;5;1;2;1;2;1;1;2;4;6;2;3;2;4;1;"3";"1.00623709111664";"122499.515789474"
"820";8;4;1;1;2;3;6;4;3;1;3;5;1;2;2;3;3;5;1;1;2;;;;2;6;5;2;3;4;3;1;"3";"1.00623709111664";"122499.515789474"
"821";8;4;1;2;3;3;5;4;3;1;1;4;1;2;2;3;3;4;1;1;1;1;2;1;2;3;4;2;3;1;2;1;"3";"1.00623709111664";"122499.515789474"
"822";8;4;1;1;1;1;5;2;1;2;1;3;2;2;1;3;3;3;1;2;2;;;;2;2;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"823";8;4;1;2;2;2;4;1;3;1;1;3;1;2;1;3;3;5;1;2;1;2;1;2;2;3;6;3;3;1;4;2;"3";"1.00623709111664";"122499.515789474"
"824";13;4;1;1;3;3;4;1;3;1;1;5;1;2;2;3;3;5;1;2;1;1;2;1;2;3;4;2;3;1;2;1;"3";"1.00623709111664";"122499.515789474"
"825";13;4;1;1;1;2;2;1;2;2;1;2;2;2;2;3;3;2;7;2;1;2;2;2;2;2;5;2;2;1;3;1;"3";"1.00623709111664";"122499.515789474"
"826";13;4;1;3;3;1;1;3;3;1;1;5;1;2;1;3;3;5;1;1;1;1;2;2;2;5;5;3;3;3;3;2;"3";"1.00623709111664";"122499.515789474"
"827";13;4;1;3;3;3;5;4;3;2;1;5;2;2;2;3;3;4;1;1;1;1;2;1;2;5;3;3;3;3;2;2;"3";"1.00623709111664";"122499.515789474"
"828";25;4;1;1;2;2;6;2;3;2;1;4;2;2;1;3;3;4;3;2;1;1;2;2;2;4;5;5;3;2;3;3;"3";"1.00623709111664";"122499.515789474"
"829";25;4;1;3;3;3;4;4;97;97;3;5;1;2;2;3;3;5;1;2;2;;;;2;6;5;1;3;4;3;1;"3";"1.00623709111664";"122499.515789474"
"830";25;4;1;3;3;2;5;3;3;1;1;3;1;2;2;2;2;3;6;2;1;2;2;2;2;7;5;4;2;4;3;3;"3";"1.00623709111664";"122499.515789474"
"831";25;4;1;1;2;3;2;2;3;3;1;4;2;2;1;3;3;4;5;1;1;2;2;1;2;2;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"832";25;4;1;3;3;1;4;1;3;1;1;5;1;2;1;2;2;3;3;2;1;2;2;1;2;6;5;4;3;4;3;3;"3";"1.00623709111664";"122499.515789474"
"833";25;4;1;3;3;2;4;4;1;1;1;5;1;2;2;3;3;5;1;2;2;;;;2;5;6;3;3;3;4;2;"3";"1.00623709111664";"122499.515789474"
"834";25;4;1;2;1;3;2;2;2;1;1;3;1;2;2;3;2;3;5;2;1;1;1;2;2;5;5;4;3;3;3;3;"3";"1.00623709111664";"122499.515789474"
"835";25;4;1;3;2;3;4;4;1;1;3;5;2;2;2;3;2;4;1;1;2;;;;2;7;3;3;3;4;2;2;"3";"1.00623709111664";"122499.515789474"
"836";25;4;1;1;1;1;4;1;3;3;1;5;1;2;1;3;3;4;2;1;1;2;2;1;2;4;5;3;3;2;3;2;"3";"1.00623709111664";"122499.515789474"
"837";25;4;1;3;3;1;1;4;3;3;3;5;1;2;2;3;3;5;1;2;1;2;1;1;2;5;5;3;3;3;3;2;"3";"1.00623709111664";"122499.515789474"
"838";25;4;1;3;3;2;4;2;3;1;1;5;2;2;2;3;3;5;1;1;1;2;1;2;2;4;6;3;3;2;4;2;"3";"1.00623709111664";"122499.515789474"
"839";25;4;1;3;3;2;5;3;3;1;2;4;1;2;2;3;3;3;6;1;2;;;;2;6;3;2;2;4;2;1;"3";"1.00623709111664";"122499.515789474"
"840";25;4;1;3;3;1;4;2;1;1;1;5;1;2;2;3;2;3;7;1;1;2;1;2;2;2;6;2;2;1;4;1;"3";"1.00623709111664";"122499.515789474"
"841";25;4;1;2;3;1;6;2;1;1;2;4;1;2;1;2;3;4;1;2;1;1;1;1;2;5;5;3;3;3;3;2;"3";"1.00623709111664";"122499.515789474"
"842";25;4;1;3;2;2;4;2;3;2;2;5;1;2;2;3;3;5;1;1;1;2;1;1;2;7;5;97;3;4;3;97;"3";"1.00623709111664";"122499.515789474"
"843";25;4;1;3;3;1;5;4;1;97;1;5;1;2;2;3;3;5;3;1;2;;;;2;6;4;2;3;4;2;1;"3";"1.00623709111664";"122499.515789474"
"844";25;4;1;3;3;1;3;3;2;2;1;5;2;2;1;3;3;4;1;2;1;1;2;1;2;4;5;3;3;2;3;2;"3";"1.00623709111664";"122499.515789474"
"845";25;4;1;2;1;3;1;2;3;97;1;5;2;2;2;3;3;5;1;1;1;2;1;1;2;3;6;1;3;1;4;1;"3";"1.00623709111664";"122499.515789474"
"846";25;4;1;3;2;3;4;4;97;1;3;5;1;2;2;3;3;5;3;1;1;1;1;1;2;5;6;3;3;3;4;2;"3";"1.00623709111664";"122499.515789474"
"847";25;4;1;2;2;2;6;3;97;1;3;5;1;2;2;3;2;5;1;2;1;2;1;2;2;4;5;2;3;2;3;1;"3";"1.00623709111664";"122499.515789474"
"848";25;4;1;3;3;3;3;2;2;2;2;4;1;2;1;2;3;4;1;2;1;2;1;1;2;6;5;2;3;4;3;1;"3";"1.00623709111664";"122499.515789474"
"849";25;4;1;2;3;1;5;3;3;1;1;4;1;2;1;2;3;3;6;2;1;2;1;1;2;1;4;1;2;1;2;1;"3";"1.00623709111664";"122499.515789474"
"850";25;4;1;3;3;1;3;1;3;1;1;5;1;2;1;3;2;3;6;2;1;1;2;1;2;5;5;3;2;3;3;2;"3";"1.00623709111664";"122499.515789474"
"851";25;4;1;2;3;1;1;4;2;2;1;3;1;1;1;3;2;3;1;1;2;;;;2;4;3;2;3;2;2;1;"3";"1.00623709111664";"122499.515789474"
"852";25;4;1;3;3;2;5;3;1;3;3;5;1;2;2;3;2;4;3;2;2;;;;2;4;6;3;3;2;4;2;"3";"1.00623709111664";"122499.515789474"
"853";25;4;1;1;2;2;6;1;2;1;1;4;1;2;1;3;3;3;5;2;1;2;2;1;2;7;5;3;3;4;3;2;"3";"1.00623709111664";"122499.515789474"
"854";25;4;1;3;3;3;4;1;3;1;1;5;2;2;1;3;3;5;3;2;1;2;2;1;2;5;5;2;3;3;3;1;"3";"1.00623709111664";"122499.515789474"
"855";25;4;1;97;97;1;1;2;3;1;1;5;1;2;2;3;3;3;4;1;1;2;2;1;2;3;6;1;3;1;4;1;"3";"1.00623709111664";"122499.515789474"
"856";25;4;1;3;2;3;4;3;2;1;1;1;2;2;2;2;2;2;11;2;1;1;2;2;2;7;2;3;1;4;1;2;"3";"1.00623709111664";"122499.515789474"
"857";25;4;1;3;3;1;1;1;97;97;3;5;1;2;2;3;3;3;1;1;1;2;97;1;2;4;5;3;3;2;3;2;"3";"1.00623709111664";"122499.515789474"
"858";25;4;1;3;3;3;4;4;2;1;3;5;1;2;1;3;3;4;1;2;97;2;97;2;2;6;2;2;3;4;1;1;"3";"1.00623709111664";"122499.515789474"
"859";25;4;1;3;3;3;4;2;3;1;2;4;1;2;2;2;2;3;5;2;1;1;1;2;2;5;5;3;3;3;3;2;"3";"1.00623709111664";"122499.515789474"
"860";25;4;1;3;3;3;4;2;1;1;1;5;1;2;1;3;3;5;1;2;1;2;2;1;2;6;5;3;3;4;3;2;"3";"1.00623709111664";"122499.515789474"
"861";25;4;1;1;1;1;4;1;2;1;3;5;1;2;2;3;3;5;1;1;1;2;1;1;2;5;5;2;3;3;3;1;"3";"1.00623709111664";"122499.515789474"
"862";8;4;1;3;3;3;2;2;1;1;1;5;1;1;2;2;3;4;5;97;1;1;2;1;2;3;5;2;3;1;3;1;"3";"1.00623709111664";"122499.515789474"
"863";25;4;2;3;3;2;4;1;3;2;97;5;1;2;2;3;3;5;1;2;1;1;1;1;2;5;7;3;3;3;4;2;"1";"0.417380581011344";"50812"
"864";25;4;2;2;3;3;1;1;3;1;1;5;1;2;1;3;3;4;4;2;1;2;1;1;2;6;7;4;3;4;4;3;"1";"0.417380581011344";"50812"
"865";8;4;2;2;2;1;4;2;3;1;3;3;1;2;2;3;2;3;11;2;2;;;;2;4;7;2;1;2;4;1;"2";"0.905453704192968";"110230.125"
"866";8;4;2;3;3;3;4;1;3;1;3;5;1;2;2;3;3;5;1;2;1;1;2;1;2;4;7;5;3;2;4;3;"2";"0.905453704192968";"110230.125"
"867";19;4;2;3;3;3;5;1;3;1;1;5;1;2;1;3;3;5;3;2;1;2;97;1;2;7;7;97;3;4;4;97;"2";"0.905453704192968";"110230.125"
"868";25;4;2;2;2;2;1;1;3;1;1;4;1;1;2;3;3;5;1;2;1;2;1;1;2;4;7;97;3;2;4;97;"2";"0.905453704192968";"110230.125"
"869";25;4;2;1;1;1;2;1;2;2;1;2;1;2;2;2;3;3;4;2;1;1;2;2;2;6;7;5;3;4;4;3;"2";"0.905453704192968";"110230.125"
"870";25;4;2;1;1;1;4;1;3;1;1;5;1;2;2;3;2;4;5;1;1;2;2;1;2;3;7;5;3;1;4;3;"2";"0.905453704192968";"110230.125"
"871";25;4;2;3;1;1;4;1;3;1;1;5;1;2;2;3;3;5;1;2;1;2;1;1;2;4;7;4;3;2;4;3;"2";"0.905453704192968";"110230.125"
"872";13;4;2;2;2;3;1;1;3;1;2;5;2;2;1;3;3;4;1;1;1;2;1;2;2;4;7;3;3;2;4;2;"2";"0.905453704192968";"110230.125"
"873";25;4;1;2;2;1;5;1;3;1;2;5;1;2;2;3;3;5;5;1;1;2;2;2;2;5;7;4;3;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"874";19;4;1;2;2;2;2;4;97;2;1;4;1;1;1;2;2;3;8;2;2;;;;2;3;7;3;2;1;4;2;"3";"0.320257496428889";"38988.2151898734"
"875";19;4;1;3;3;2;1;2;1;1;2;4;1;2;2;3;2;4;3;2;1;2;1;1;2;6;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"876";19;4;1;3;3;2;4;1;97;1;1;5;1;2;2;3;3;4;5;1;1;2;97;1;2;5;7;5;3;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"877";19;4;1;2;3;3;3;1;3;1;1;4;1;2;2;3;3;3;1;1;1;2;2;1;2;5;7;3;3;3;4;2;"3";"0.320257496428889";"38988.2151898734"
"878";25;4;1;3;3;2;4;1;3;1;1;5;1;2;2;3;3;5;1;1;1;1;1;2;2;7;7;5;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"879";25;4;1;3;3;3;4;2;3;1;1;5;1;2;2;3;3;5;2;1;1;2;2;1;2;3;7;5;3;1;4;3;"3";"0.320257496428889";"38988.2151898734"
"880";13;4;1;3;3;2;4;2;3;2;2;3;1;2;2;3;3;4;2;1;1;2;2;2;2;5;7;97;3;3;4;97;"3";"0.320257496428889";"38988.2151898734"
"881";13;4;1;3;3;1;97;1;3;1;1;5;1;2;1;3;97;5;2;2;1;2;2;1;2;7;7;97;3;4;4;97;"3";"0.320257496428889";"38988.2151898734"
"882";13;4;1;3;2;3;4;1;3;1;1;5;1;1;2;2;3;4;1;2;1;2;1;1;2;6;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"883";13;4;1;2;2;2;1;1;3;1;1;3;1;2;2;3;2;3;6;2;1;2;1;1;2;4;7;4;2;2;4;3;"3";"0.320257496428889";"38988.2151898734"
"884";13;4;1;3;3;3;5;1;2;2;1;5;1;2;2;3;2;4;1;2;97;1;97;2;2;4;7;97;3;2;4;97;"3";"0.320257496428889";"38988.2151898734"
"885";13;4;1;3;1;2;4;1;3;1;1;5;1;2;2;3;3;5;1;2;1;2;1;2;2;4;7;4;3;2;4;3;"3";"0.320257496428889";"38988.2151898734"
"886";13;4;1;3;2;97;6;3;3;1;1;3;1;2;2;3;2;3;8;2;1;1;97;1;2;7;7;97;2;4;4;97;"3";"0.320257496428889";"38988.2151898734"
"887";19;4;1;2;2;3;1;1;1;1;1;5;1;2;2;3;3;4;1;97;2;;;;2;5;7;4;3;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"888";19;4;1;3;3;2;1;1;1;1;1;5;1;2;2;3;3;4;1;2;1;2;1;2;2;4;7;3;3;2;4;2;"3";"0.320257496428889";"38988.2151898734"
"889";19;4;1;3;3;3;4;1;97;1;97;5;1;2;1;3;2;5;2;1;1;1;2;1;2;6;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"890";19;4;1;2;2;2;4;2;3;1;1;5;1;2;2;3;3;5;3;2;1;2;1;1;2;4;7;3;3;2;4;2;"3";"0.320257496428889";"38988.2151898734"
"891";19;4;1;3;3;1;2;2;3;1;1;3;1;2;2;2;2;3;5;1;1;2;1;2;2;6;7;97;3;4;4;97;"3";"0.320257496428889";"38988.2151898734"
"892";19;4;1;3;2;2;6;1;3;1;1;5;1;2;2;2;3;5;5;2;1;2;1;1;2;5;7;4;3;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"893";19;4;1;2;2;2;2;1;3;1;1;4;1;2;2;2;2;3;4;2;1;2;1;1;2;3;7;3;3;1;4;2;"3";"0.320257496428889";"38988.2151898734"
"894";19;4;1;2;2;2;2;1;3;1;1;5;1;2;2;2;3;3;8;2;1;2;2;1;2;3;7;4;2;1;4;3;"3";"0.320257496428889";"38988.2151898734"
"895";19;4;1;3;3;3;6;2;3;2;2;5;1;2;2;3;3;5;1;1;1;2;1;2;2;3;7;3;3;1;4;2;"3";"0.320257496428889";"38988.2151898734"
"896";19;4;1;3;3;2;4;1;2;2;2;5;2;2;1;3;2;5;2;1;1;2;1;1;2;7;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"897";13;4;1;1;2;1;4;1;97;2;97;5;2;1;1;3;3;5;1;1;1;2;1;2;2;3;7;2;3;1;4;1;"3";"0.320257496428889";"38988.2151898734"
"898";13;4;1;2;2;2;5;1;2;2;1;5;1;2;2;3;3;5;1;1;1;2;1;1;2;7;7;5;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"899";13;4;1;2;3;2;1;2;3;1;1;4;1;1;2;3;2;3;1;1;1;2;2;1;2;4;7;5;3;2;4;3;"3";"0.320257496428889";"38988.2151898734"
"900";13;4;1;2;3;3;4;1;2;1;1;4;1;2;2;2;2;4;1;2;1;2;1;1;2;3;7;3;3;1;4;2;"3";"0.320257496428889";"38988.2151898734"
"901";13;4;1;2;2;3;3;1;3;1;2;4;1;2;2;2;2;3;3;1;1;2;1;1;2;6;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"902";13;4;1;3;2;3;6;1;3;2;3;5;1;2;2;3;3;5;1;1;1;2;1;1;2;4;7;3;3;2;4;2;"3";"0.320257496428889";"38988.2151898734"
"903";13;4;1;3;3;2;5;2;3;1;1;4;1;2;1;3;3;4;4;2;1;2;1;2;2;5;7;3;3;3;4;2;"3";"0.320257496428889";"38988.2151898734"
"904";13;4;1;3;3;2;3;1;3;1;1;4;1;2;1;3;3;4;6;2;1;2;1;2;2;6;7;3;2;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"905";13;4;1;3;3;3;1;4;2;1;3;5;1;2;2;3;3;5;1;2;1;2;1;1;2;4;7;97;3;2;4;97;"3";"0.320257496428889";"38988.2151898734"
"906";13;4;1;2;3;2;4;1;3;1;1;5;1;1;1;2;3;5;6;2;1;1;1;2;2;4;7;3;2;2;4;2;"3";"0.320257496428889";"38988.2151898734"
"907";13;4;1;2;2;3;4;2;2;1;3;4;1;2;2;2;2;3;4;97;1;2;1;1;2;6;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"908";19;4;1;3;3;2;5;2;3;1;2;4;1;2;1;2;3;3;6;1;1;2;1;2;2;7;7;5;2;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"909";19;4;1;3;3;3;4;1;3;1;1;5;1;2;2;3;3;5;1;1;1;2;1;1;2;6;7;5;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"910";19;4;1;2;2;1;4;1;2;1;1;5;1;2;2;2;3;4;7;2;2;;;;2;3;7;2;2;1;4;1;"3";"0.320257496428889";"38988.2151898734"
"911";13;4;1;2;3;2;4;3;1;97;1;2;1;2;1;3;3;5;5;2;1;1;1;1;2;6;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"912";13;4;1;3;3;3;4;1;3;1;1;5;1;2;2;3;3;5;3;2;1;2;1;1;2;7;7;97;3;4;4;97;"3";"0.320257496428889";"38988.2151898734"
"913";13;4;1;3;3;2;4;1;2;2;3;5;1;2;2;3;3;5;1;2;1;2;1;1;2;3;7;3;3;1;4;2;"3";"0.320257496428889";"38988.2151898734"
"914";13;4;1;3;3;3;6;1;3;2;3;5;1;2;1;3;3;5;6;1;1;2;2;1;2;7;7;3;2;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"915";25;4;1;3;2;3;4;1;3;1;1;5;1;1;2;3;3;5;1;2;1;2;97;1;2;6;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"916";25;4;1;2;3;2;4;2;3;1;1;5;1;2;2;3;3;5;2;1;1;2;1;2;2;7;7;5;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"917";25;4;1;2;2;2;1;2;2;1;1;4;1;2;2;3;3;5;1;97;1;2;97;1;2;3;7;1;3;1;4;1;"3";"0.320257496428889";"38988.2151898734"
"918";25;4;1;3;2;2;6;2;2;1;2;5;1;2;1;2;2;3;6;1;1;2;1;1;2;5;7;5;2;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"919";25;4;1;3;3;3;2;4;2;1;1;5;1;2;1;3;3;5;1;2;1;2;97;2;2;7;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"920";25;4;1;3;2;97;4;1;3;1;3;5;1;2;2;3;3;5;1;1;1;2;1;1;2;7;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"921";25;4;1;1;2;1;4;1;3;1;2;4;1;2;1;3;3;4;5;1;1;2;1;1;2;7;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"922";25;4;1;3;3;3;4;1;3;2;1;5;2;2;2;3;3;5;1;2;1;1;2;1;2;6;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"923";25;4;1;3;3;3;4;3;3;2;2;3;1;2;2;3;3;5;1;2;1;2;1;1;2;5;7;3;3;3;4;2;"3";"0.320257496428889";"38988.2151898734"
"924";25;4;1;3;3;2;1;2;3;1;1;5;1;2;1;3;3;4;6;2;1;1;2;1;2;6;7;1;2;4;4;1;"3";"0.320257496428889";"38988.2151898734"
"925";25;4;1;1;2;2;5;1;3;1;1;5;1;1;2;3;3;4;2;2;1;1;2;2;2;3;7;2;3;1;4;1;"3";"0.320257496428889";"38988.2151898734"
"926";25;4;1;3;3;2;1;2;3;3;2;3;2;2;2;3;2;3;1;1;1;2;1;1;2;4;7;1;3;2;4;1;"3";"0.320257496428889";"38988.2151898734"
"927";25;4;1;3;2;1;4;1;2;1;1;3;2;2;2;2;3;3;4;2;1;2;2;1;2;7;7;4;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
"928";25;4;1;3;3;3;5;2;3;1;1;5;1;2;2;3;3;4;2;2;1;2;1;1;2;6;7;97;3;4;4;97;"3";"0.320257496428889";"38988.2151898734"
"929";25;4;1;3;3;2;4;1;1;1;1;4;1;1;1;2;2;3;1;2;1;2;1;1;2;6;7;3;3;4;4;2;"3";"0.320257496428889";"38988.2151898734"
"930";25;4;1;2;3;3;4;1;2;1;1;5;1;2;2;3;3;5;4;2;1;2;1;2;2;4;7;4;3;2;4;3;"3";"0.320257496428889";"38988.2151898734"
"931";25;4;1;3;3;3;97;1;97;2;3;5;2;2;2;3;3;5;1;2;1;1;2;1;2;5;7;1;3;3;4;1;"3";"0.320257496428889";"38988.2151898734"
"932";25;4;1;2;3;2;4;2;2;1;2;3;1;2;1;2;2;3;9;2;1;1;2;1;2;5;7;4;1;3;4;3;"3";"0.320257496428889";"38988.2151898734"
"933";25;4;1;3;3;3;4;4;97;1;3;5;1;97;2;3;3;5;1;2;2;;;;2;7;7;2;3;4;4;1;"3";"0.320257496428889";"38988.2151898734"
"934";25;4;1;2;3;3;97;1;3;1;97;5;1;2;1;3;3;5;1;1;1;2;1;1;2;7;7;5;3;4;4;3;"3";"0.320257496428889";"38988.2151898734"
